YEAR	C0007022	C0209338	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	0.998106	0.001894	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	0.991597	0.008403	
1995	0.984581	0.015419	
1996	0.923747	0.076253	
1997	0.897826	0.102174	
1998	0.740741	0.259259	
1999	0.783231	0.216769	
2000	0.731061	0.268939	
2001	0.777972	0.222028	
2002	0.701010	0.298990	
2003	0.715247	0.284753	
2004	0.796460	0.203540	
2005	0.824367	0.175633	
2006	0.840830	0.159170	
2007	0.773124	0.226876	
2008	0.837288	0.162712	
2009	0.802065	0.197935	
2010	0.833024	0.166976	
2011	0.931907	0.068093	
2012	0.911371	0.088629	
2013	0.901112	0.098888	
2014	0.864478	0.135522	
2015	0.586649	0.413351	
2016	0.864170	0.135830	
2017	0.655206	0.344794	
2018	0.877023	0.122977	
