YEAR	C0011485	C0021024	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	0.831776	0.168224	
1999	0.910256	0.089744	
2000	0.522936	0.477064	
2001	0.510000	0.490000	
2002	0.490385	0.509615	
2003	0.546296	0.453704	
2004	0.470339	0.529661	
2005	0.460094	0.539906	
2006	0.719697	0.280303	
2007	0.704641	0.295359	
2008	0.472561	0.527439	
2009	0.473684	0.526316	
2010	0.439462	0.560538	
2011	0.217476	0.782524	
2012	0.390397	0.609603	
2013	0.431635	0.568365	
2014	0.362335	0.637665	
2015	0.382054	0.617946	
2016	0.238562	0.761438	
2017	0.275806	0.724194	
2018	0.220588	0.779412	
