YEAR	C0010132	C0022661	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.250000	0.750000	
1957	0.000000	1.000000	
1958	0.333333	0.666667	
1959	0.300000	0.700000	
1960	0.500000	0.500000	
1961	0.000000	1.000000	
1962	0.285714	0.714286	
1963	0.176471	0.823529	
1964	0.037037	0.962963	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.052632	0.947368	
1968	0.107143	0.892857	
1969	0.134021	0.865979	
1970	0.122449	0.877551	
1971	0.093458	0.906542	
1972	0.118644	0.881356	
1973	0.141892	0.858108	
1974	0.162011	0.837989	
1975	0.121718	0.878282	
1976	0.214425	0.785575	
1977	0.200820	0.799180	
1978	0.104603	0.895397	
1979	0.125000	0.875000	
1980	0.086400	0.913600	
1981	0.162242	0.837758	
1982	0.348837	0.651163	
1983	0.423152	0.576848	
1984	0.501877	0.498123	
1985	0.557449	0.442551	
1986	0.612365	0.387635	
1987	0.648318	0.351682	
1988	0.619549	0.380451	
1989	0.540953	0.459047	
1990	0.542256	0.457744	
1991	0.467000	0.533000	
1992	0.531605	0.468395	
1993	0.555213	0.444787	
1994	0.518987	0.481013	
1995	0.498479	0.501521	
1996	0.466001	0.533999	
1997	0.479233	0.520767	
1998	0.481365	0.518635	
1999	0.481895	0.518105	
2000	0.413422	0.586578	
2001	0.459526	0.540474	
2002	0.361793	0.638207	
2003	0.340650	0.659350	
2004	0.378422	0.621578	
2005	0.327042	0.672958	
2006	0.415269	0.584731	
2007	0.360055	0.639945	
2008	0.407937	0.592063	
2009	0.387266	0.612734	
2010	0.338873	0.661127	
2011	0.386013	0.613987	
2012	0.355469	0.644531	
2013	0.371439	0.628561	
2014	0.294765	0.705235	
2015	0.235766	0.764234	
2016	0.318536	0.681464	
2017	0.313183	0.686817	
2018	0.198577	0.801423	
