YEAR	C0013710	C0029974	
1945	0.800000	0.200000	
1946	0.659794	0.340206	
1947	0.770270	0.229730	
1948	0.481928	0.518072	
1949	0.606557	0.393443	
1950	0.593750	0.406250	
1951	0.685393	0.314607	
1952	0.701923	0.298077	
1953	0.679487	0.320513	
1954	0.535354	0.464646	
1955	0.504505	0.495495	
1956	0.535354	0.464646	
1957	0.390805	0.609195	
1958	0.566372	0.433628	
1959	0.408759	0.591241	
1960	0.358491	0.641509	
1961	0.421875	0.578125	
1962	0.431953	0.568047	
1963	0.303448	0.696552	
1964	0.344828	0.655172	
1965	0.423729	0.576271	
1966	0.340314	0.659686	
1967	0.315534	0.684466	
1968	0.313808	0.686192	
1969	0.370149	0.629851	
1970	0.242291	0.757709	
1971	0.248120	0.751880	
1972	0.233918	0.766082	
1973	0.257764	0.742236	
1974	0.177184	0.822816	
1975	0.347982	0.652018	
1976	0.285714	0.714286	
1977	0.266089	0.733911	
1978	0.274126	0.725874	
1979	0.246014	0.753986	
1980	0.220674	0.779326	
1981	0.226841	0.773159	
1982	0.188723	0.811277	
1983	0.216826	0.783174	
1984	0.312585	0.687415	
1985	0.289333	0.710667	
1986	0.260749	0.739251	
1987	0.262112	0.737888	
1988	0.285714	0.714286	
1989	0.324415	0.675585	
1990	0.353143	0.646857	
1991	0.520653	0.479347	
1992	0.447537	0.552463	
1993	0.523610	0.476390	
1994	0.524203	0.475797	
1995	0.524377	0.475623	
1996	0.508432	0.491568	
1997	0.349232	0.650768	
1998	0.406629	0.593371	
1999	0.522523	0.477477	
2000	0.429487	0.570513	
2001	0.559081	0.440919	
2002	0.550792	0.449208	
2003	0.441344	0.558656	
2004	0.537229	0.462771	
2005	0.397640	0.602360	
2006	0.395450	0.604550	
2007	0.368660	0.631340	
2008	0.484250	0.515750	
2009	0.434148	0.565852	
2010	0.482301	0.517699	
2011	0.366269	0.633731	
2012	0.353768	0.646232	
2013	0.410289	0.589711	
2014	0.354271	0.645729	
2015	0.514436	0.485564	
2016	0.473304	0.526696	
2017	0.539007	0.460993	
2018	0.545455	0.454545	
2019	0.888889	0.111111	
