YEAR	C0013671	C0677644	
1946	1.000000	0.000000	
1947	0.000000	0.000000	
1948	1.000000	0.000000	
1949	0.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	1.000000	0.000000	
2002	1.000000	0.000000	
2003	1.000000	0.000000	
2004	0.833333	0.166667	
2005	0.933333	0.066667	
2006	0.904762	0.095238	
2007	0.862319	0.137681	
2008	0.687075	0.312925	
2009	0.881720	0.118280	
2010	0.903974	0.096026	
2011	0.915888	0.084112	
2012	0.942051	0.057949	
2013	0.876404	0.123596	
2014	0.953930	0.046070	
2015	0.986811	0.013189	
2016	0.953162	0.046838	
2017	0.987109	0.012891	
2018	1.000000	0.000000	
