YEAR	C0032580	C0162832	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	0.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	0.000000	
1975	0.000000	0.000000	
1976	0.000000	0.000000	
1977	0.000000	0.000000	
1978	0.000000	0.000000	
1979	1.000000	0.000000	
1980	0.000000	0.000000	
1981	1.000000	0.000000	
1982	0.000000	0.000000	
1983	0.000000	0.000000	
1984	0.000000	0.000000	
1985	0.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	0.987261	0.012739	
1992	0.944341	0.055659	
1993	0.764550	0.235450	
1994	0.666667	0.333333	
1995	0.641430	0.358570	
1996	0.678926	0.321074	
1997	0.489324	0.510676	
1998	0.601369	0.398631	
1999	0.628362	0.371638	
2000	0.601821	0.398179	
2001	0.591389	0.408611	
2002	0.589286	0.410714	
2003	0.507651	0.492349	
2004	0.527273	0.472727	
2005	0.585865	0.414135	
2006	0.544162	0.455838	
2007	0.625148	0.374852	
2008	0.534560	0.465440	
2009	0.667039	0.332961	
2010	0.554958	0.445042	
2011	0.475156	0.524844	
2012	0.604182	0.395818	
2013	0.477332	0.522668	
2014	0.578769	0.421231	
2015	0.557850	0.442150	
2016	0.717301	0.282699	
2017	0.715557	0.284443	
2018	0.774834	0.225166	
