YEAR	C0079504	C0242994	
1994	0.000000	1.000000	
1995	0.000000	1.000000	
1996	0.000000	1.000000	
1997	0.000000	1.000000	
1998	0.000000	1.000000	
1999	0.000000	1.000000	
2000	0.333333	0.666667	
2001	0.571429	0.428571	
2002	0.558376	0.441624	
2003	0.577640	0.422360	
2004	0.647727	0.352273	
2005	0.765517	0.234483	
2006	0.727273	0.272727	
2007	0.216346	0.783654	
2008	0.364407	0.635593	
2009	0.548611	0.451389	
2010	0.757576	0.242424	
2011	0.412017	0.587983	
2012	0.389610	0.610390	
2013	0.440972	0.559028	
2014	0.177419	0.822581	
2015	0.251142	0.748858	
2016	0.511070	0.488930	
2017	0.584699	0.415301	
2018	0.784314	0.215686	
