YEAR	C0010343	C0018810	
1945	0.000000	1.000000	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.000000	1.000000	
1949	0.000000	1.000000	
1950	0.375000	0.625000	
1951	0.200000	0.800000	
1952	0.095238	0.904762	
1953	0.074074	0.925926	
1954	0.578947	0.421053	
1955	0.230769	0.769231	
1956	0.176471	0.823529	
1957	0.041667	0.958333	
1958	0.050000	0.950000	
1959	0.117647	0.882353	
1960	0.096774	0.903226	
1961	0.102564	0.897436	
1962	0.042553	0.957447	
1963	0.000000	1.000000	
1964	0.065217	0.934783	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.000000	1.000000	
1976	0.000000	1.000000	
1977	0.000000	1.000000	
1978	0.000000	1.000000	
1979	0.000000	1.000000	
1980	0.000000	1.000000	
1981	0.000000	1.000000	
1982	0.000000	1.000000	
1983	0.000000	1.000000	
1984	0.000000	1.000000	
1985	0.000000	1.000000	
1986	0.000000	1.000000	
1987	0.000000	1.000000	
1988	0.000000	1.000000	
1989	0.000000	1.000000	
1990	0.000000	1.000000	
1991	0.001509	0.998491	
1992	0.009932	0.990068	
1993	0.014616	0.985384	
1994	0.017954	0.982046	
1995	0.018269	0.981731	
1996	0.018507	0.981493	
1997	0.017759	0.982241	
1998	0.027245	0.972755	
1999	0.024535	0.975465	
2000	0.031407	0.968593	
2001	0.025269	0.974731	
2002	0.042630	0.957370	
2003	0.041903	0.958097	
2004	0.044524	0.955476	
2005	0.047969	0.952031	
2006	0.051877	0.948123	
2007	0.047380	0.952620	
2008	0.041318	0.958682	
2009	0.046432	0.953568	
2010	0.066293	0.933707	
2011	0.056985	0.943015	
2012	0.065452	0.934548	
2013	0.042420	0.957580	
2014	0.040415	0.959585	
2015	0.033445	0.966555	
2016	0.024713	0.975287	
2017	0.031292	0.968708	
2018	0.039994	0.960006	
