YEAR	C0242872	C0949851	
1954	1.000000	0.000000	
1955	0.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	0.000000	0.000000	
1959	1.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	1.000000	
1963	1.000000	0.000000	
1964	0.000000	0.000000	
1965	0.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	0.000000	
1975	0.000000	0.000000	
1976	0.000000	0.000000	
1977	0.000000	0.000000	
1978	0.000000	0.000000	
1979	0.000000	0.000000	
1980	0.000000	0.000000	
1981	0.000000	0.000000	
1982	0.000000	0.000000	
1983	0.000000	0.000000	
1984	0.000000	0.000000	
1985	0.000000	0.000000	
1986	0.000000	0.000000	
1987	0.000000	0.000000	
1988	0.000000	0.000000	
1989	0.000000	0.000000	
1990	0.000000	0.000000	
1991	0.000000	0.000000	
1992	0.000000	0.000000	
1993	0.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	0.000000	0.000000	
1998	0.000000	0.000000	
1999	1.000000	0.000000	
2000	0.400000	0.600000	
2001	0.666667	0.333333	
2002	0.026316	0.973684	
2003	0.000000	1.000000	
2004	0.000000	1.000000	
2005	0.080000	0.920000	
2006	0.108696	0.891304	
2007	0.021739	0.978261	
2008	0.068966	0.931034	
2009	0.009662	0.990338	
2010	0.066667	0.933333	
2011	0.144000	0.856000	
2012	0.035714	0.964286	
2013	0.291139	0.708861	
2014	0.009615	0.990385	
2015	0.000000	1.000000	
2016	0.302083	0.697917	
2017	0.471429	0.528571	
2018	0.000000	1.000000	
