YEAR	C0019552	C0022122	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	0.947368	0.052632	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	0.993464	0.006536	
1951	0.993548	0.006452	
1952	0.981013	0.018987	
1953	0.986014	0.013986	
1954	1.000000	0.000000	
1955	0.992063	0.007937	
1956	0.984127	0.015873	
1957	0.978261	0.021739	
1958	0.978723	0.021277	
1959	0.991071	0.008929	
1960	0.989418	0.010582	
1961	0.979798	0.020202	
1962	1.000000	0.000000	
1963	0.943396	0.056604	
1964	0.972603	0.027397	
1965	0.875000	0.125000	
1966	0.969697	0.030303	
1967	0.938462	0.061538	
1968	0.977612	0.022388	
1969	0.953216	0.046784	
1970	0.988764	0.011236	
1971	0.994924	0.005076	
1972	0.990196	0.009804	
1973	0.966184	0.033816	
1974	0.990099	0.009901	
1975	0.975862	0.024138	
1976	1.000000	0.000000	
1977	0.964706	0.035294	
1978	0.971014	0.028986	
1979	0.883721	0.116279	
1980	0.991736	0.008264	
1981	0.923077	0.076923	
1982	0.943548	0.056452	
1983	0.937500	0.062500	
1984	0.880435	0.119565	
1985	0.897196	0.102804	
1986	0.963964	0.036036	
1987	0.906977	0.093023	
1988	0.942029	0.057971	
1989	0.972222	0.027778	
1990	0.983516	0.016484	
1991	0.972222	0.027778	
1992	0.928177	0.071823	
1993	0.966825	0.033175	
1994	0.978836	0.021164	
1995	0.959016	0.040984	
1996	0.976959	0.023041	
1997	0.965385	0.034615	
1998	0.884774	0.115226	
1999	0.996678	0.003322	
2000	0.982323	0.017677	
2001	1.000000	0.000000	
2002	0.992857	0.007143	
2003	0.956621	0.043379	
2004	0.972569	0.027431	
2005	0.991259	0.008741	
2006	0.987654	0.012346	
2007	0.997872	0.002128	
2008	0.958054	0.041946	
2009	0.974513	0.025487	
2010	0.986939	0.013061	
2011	0.970963	0.029037	
2012	0.969432	0.030568	
2013	0.989837	0.010163	
2014	0.934825	0.065175	
2015	0.964153	0.035847	
2016	0.989407	0.010593	
2017	0.955273	0.044727	
2018	0.989276	0.010724	
