YEAR	C0022077	C1001362	
1944	1.000000	0.000000	
1945	1.000000	0.000000	
1946	0.909091	0.090909	
1947	1.000000	0.000000	
1948	0.869565	0.130435	
1949	0.933333	0.066667	
1950	0.812500	0.187500	
1951	0.906250	0.093750	
1952	0.892857	0.107143	
1953	0.847826	0.152174	
1954	0.967742	0.032258	
1955	0.933333	0.066667	
1956	0.868421	0.131579	
1957	0.860000	0.140000	
1958	0.911111	0.088889	
1959	0.923077	0.076923	
1960	0.878049	0.121951	
1961	0.952381	0.047619	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	0.995134	0.004866	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	0.981651	0.018349	
2002	0.986063	0.013937	
2003	0.967742	0.032258	
2004	0.973366	0.026634	
2005	0.958696	0.041304	
2006	0.975425	0.024575	
2007	0.965795	0.034205	
2008	0.960254	0.039746	
2009	0.883780	0.116220	
2010	0.951708	0.048292	
2011	0.936986	0.063014	
2012	0.942765	0.057235	
2013	0.951056	0.048944	
2014	0.986815	0.013185	
2015	0.946753	0.053247	
2016	0.957740	0.042260	
2017	0.982770	0.017230	
2018	0.956193	0.043807	
