YEAR	C0022864	C0043227	
1945	0.083333	0.916667	
1946	0.303030	0.696970	
1947	0.385542	0.614458	
1948	0.440000	0.560000	
1949	0.475610	0.524390	
1950	0.433086	0.566914	
1951	0.394509	0.605491	
1952	0.365812	0.634188	
1953	0.404511	0.595489	
1954	0.379085	0.620915	
1955	0.368775	0.631225	
1956	0.351801	0.648199	
1957	0.414326	0.585674	
1958	0.420253	0.579747	
1959	0.382802	0.617198	
1960	0.387292	0.612708	
1961	0.386293	0.613707	
1962	0.388133	0.611867	
1963	0.523316	0.476684	
1964	0.716450	0.283550	
1965	0.666667	0.333333	
1966	0.678571	0.321429	
1967	0.641921	0.358079	
1968	0.680000	0.320000	
1969	0.670000	0.330000	
1970	0.634686	0.365314	
1971	0.612000	0.388000	
1972	0.629032	0.370968	
1973	0.670455	0.329545	
1974	0.570513	0.429487	
1975	0.633446	0.366554	
1976	0.735294	0.264706	
1977	0.752981	0.247019	
1978	0.689354	0.310646	
1979	0.750403	0.249597	
1980	0.756667	0.243333	
1981	0.729607	0.270393	
1982	0.741477	0.258523	
1983	0.703546	0.296454	
1984	0.594493	0.405507	
1985	0.704631	0.295369	
1986	0.625509	0.374491	
1987	0.745215	0.254785	
1988	0.559411	0.440589	
1989	0.544708	0.455292	
1990	0.577320	0.422680	
1991	0.660529	0.339471	
1992	0.702864	0.297136	
1993	0.661426	0.338574	
1994	0.659978	0.340022	
1995	0.633484	0.366516	
1996	0.647280	0.352720	
1997	0.589141	0.410859	
1998	0.722112	0.277888	
1999	0.638400	0.361600	
2000	0.672131	0.327869	
2001	0.603325	0.396675	
2002	0.677184	0.322816	
2003	0.701040	0.298960	
2004	0.516599	0.483401	
2005	0.571650	0.428350	
2006	0.505192	0.494808	
2007	0.487762	0.512238	
2008	0.647242	0.352758	
2009	0.518031	0.481969	
2010	0.359332	0.640668	
2011	0.330805	0.669195	
2012	0.346190	0.653810	
2013	0.433160	0.566840	
2014	0.319906	0.680094	
2015	0.225773	0.774227	
2016	0.350045	0.649955	
2017	0.573078	0.426922	
2018	0.383805	0.616195	
