YEAR	C0752045	C1068388	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	1.000000	0.000000	
2002	0.823529	0.176471	
2003	0.868421	0.131579	
2004	0.944444	0.055556	
2005	0.968750	0.031250	
2006	1.000000	0.000000	
2007	0.782609	0.217391	
2008	0.875000	0.125000	
2009	0.722222	0.277778	
2010	0.796296	0.203704	
2011	0.862069	0.137931	
2012	0.907692	0.092308	
2013	0.401786	0.598214	
2014	0.675000	0.325000	
2015	0.848485	0.151515	
2016	0.333333	0.666667	
2017	0.462963	0.537037	
2018	0.913793	0.086207	
