YEAR	C0024518	C0027100	
1975	1.000000	0.000000	
1976	0.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	0.985591	0.014409	
1987	1.000000	0.000000	
1988	0.993921	0.006079	
1989	0.998711	0.001289	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	0.996528	0.003472	
1993	0.994681	0.005319	
1994	0.990291	0.009709	
1995	0.750469	0.249531	
1996	0.516228	0.483772	
1997	0.583075	0.416925	
1998	0.593921	0.406079	
1999	0.520946	0.479054	
2000	0.501974	0.498026	
2001	0.595376	0.404624	
2002	0.477204	0.522796	
2003	0.614027	0.385973	
2004	0.533732	0.466268	
2005	0.542073	0.457927	
2006	0.585519	0.414481	
2007	0.631196	0.368804	
2008	0.732258	0.267742	
2009	0.738120	0.261880	
2010	0.650875	0.349125	
2011	0.748006	0.251994	
2012	0.603044	0.396956	
2013	0.706275	0.293725	
2014	0.682109	0.317891	
2015	0.725542	0.274458	
2016	0.733036	0.266964	
2017	0.801924	0.198076	
2018	0.674202	0.325798	
