YEAR	C0001629	C0025148	
1945	0.333333	0.666667	
1946	1.000000	0.000000	
1947	0.500000	0.500000	
1948	0.714286	0.285714	
1949	0.812500	0.187500	
1950	0.783784	0.216216	
1951	0.644444	0.355556	
1952	0.792453	0.207547	
1953	0.781818	0.218182	
1954	0.721311	0.278689	
1955	0.722222	0.277778	
1956	0.848485	0.151515	
1957	0.736111	0.263889	
1958	0.859155	0.140845	
1959	0.781250	0.218750	
1960	0.766667	0.233333	
1961	0.692308	0.307692	
1962	0.776316	0.223684	
1963	0.602740	0.397260	
1964	0.671875	0.328125	
1965	0.678161	0.321839	
1966	0.625000	0.375000	
1967	0.663551	0.336449	
1968	0.670455	0.329545	
1969	0.773585	0.226415	
1970	0.600000	0.400000	
1971	0.710280	0.289720	
1972	0.525547	0.474453	
1973	0.466165	0.533835	
1974	0.545455	0.454545	
1975	0.470752	0.529248	
1976	0.535211	0.464789	
1977	0.460366	0.539634	
1978	0.480469	0.519531	
1979	0.423948	0.576052	
1980	0.397906	0.602094	
1981	0.357602	0.642398	
1982	0.461794	0.538206	
1983	0.397535	0.602465	
1984	0.397906	0.602094	
1985	0.392405	0.607595	
1986	0.414254	0.585746	
1987	0.426991	0.573009	
1988	0.390221	0.609779	
1989	0.406903	0.593097	
1990	0.369332	0.630668	
1991	0.325301	0.674699	
1992	0.297581	0.702419	
1993	0.299795	0.700205	
1994	0.333333	0.666667	
1995	0.289756	0.710244	
1996	0.281010	0.718990	
1997	0.279042	0.720958	
1998	0.254425	0.745575	
1999	0.198817	0.801183	
2000	0.220588	0.779412	
2001	0.223776	0.776224	
2002	0.193591	0.806409	
2003	0.159938	0.840062	
2004	0.222408	0.777592	
2005	0.210450	0.789550	
2006	0.228618	0.771382	
2007	0.206714	0.793286	
2008	0.178947	0.821053	
2009	0.146691	0.853309	
2010	0.169521	0.830479	
2011	0.199544	0.800456	
2012	0.190272	0.809728	
2013	0.149940	0.850060	
2014	0.228426	0.771574	
2015	0.067961	0.932039	
2016	0.223765	0.776235	
2017	0.124378	0.875622	
2018	0.038462	0.961538	
