YEAR	C0025033	C0027972	
1946	0.944444	0.055556	
1947	0.896552	0.103448	
1948	0.928571	0.071429	
1949	0.927273	0.072727	
1950	1.000000	0.000000	
1951	0.952941	0.047059	
1952	0.976190	0.023810	
1953	1.000000	0.000000	
1954	0.981132	0.018868	
1955	0.931818	0.068182	
1956	0.973684	0.026316	
1957	0.962264	0.037736	
1958	1.000000	0.000000	
1959	0.976190	0.023810	
1960	0.972973	0.027027	
1961	0.961039	0.038961	
1962	0.955224	0.044776	
1963	0.952381	0.047619	
1964	0.931507	0.068493	
1965	0.862745	0.137255	
1966	0.821429	0.178571	
1967	0.777778	0.222222	
1968	0.891892	0.108108	
1969	0.750000	0.250000	
1970	0.961538	0.038462	
1971	0.800000	0.200000	
1972	0.666667	0.333333	
1973	0.764706	0.235294	
1974	0.680000	0.320000	
1975	0.971429	0.028571	
1976	0.765306	0.234694	
1977	0.683544	0.316456	
1978	0.780952	0.219048	
1979	0.752381	0.247619	
1980	0.750000	0.250000	
1981	0.774510	0.225490	
1982	0.775362	0.224638	
1983	0.783333	0.216667	
1984	0.842105	0.157895	
1985	0.785185	0.214815	
1986	0.770053	0.229947	
1987	0.760976	0.239024	
1988	0.662921	0.337079	
1989	0.595890	0.404110	
1990	0.602564	0.397436	
1991	0.692308	0.307692	
1992	0.638554	0.361446	
1993	0.610738	0.389262	
1994	0.622449	0.377551	
1995	0.647059	0.352941	
1996	0.470238	0.529762	
1997	0.522989	0.477011	
1998	0.508287	0.491713	
1999	0.531792	0.468208	
2000	0.642458	0.357542	
2001	0.437500	0.562500	
2002	0.272000	0.728000	
2003	0.329193	0.670807	
2004	0.292857	0.707143	
2005	0.286260	0.713740	
2006	0.418367	0.581633	
2007	0.438424	0.561576	
2008	0.283105	0.716895	
2009	0.239669	0.760331	
2010	0.312500	0.687500	
2011	0.426036	0.573964	
2012	0.277487	0.722513	
2013	0.484241	0.515759	
2014	0.511265	0.488735	
2015	0.698246	0.301754	
2016	0.535332	0.464668	
2017	0.191126	0.808874	
2018	0.804348	0.195652	
