YEAR	C0028587	C0220756	
1959	1.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	0.000000	0.000000	
1964	0.000000	0.000000	
1965	0.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	0.000000	
1975	0.000000	0.000000	
1976	0.000000	0.000000	
1977	0.000000	0.000000	
1978	0.000000	0.000000	
1979	0.000000	0.000000	
1980	0.000000	0.000000	
1981	0.000000	0.000000	
1982	0.000000	0.000000	
1983	0.000000	0.000000	
1984	0.000000	0.000000	
1985	0.000000	0.000000	
1986	0.000000	0.000000	
1987	0.000000	0.000000	
1988	0.000000	0.000000	
1989	0.000000	0.000000	
1990	0.000000	0.000000	
1991	0.000000	0.000000	
1992	0.000000	0.000000	
1993	0.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	0.000000	0.000000	
1998	1.000000	0.000000	
1999	1.000000	0.000000	
2000	1.000000	0.000000	
2001	1.000000	0.000000	
2002	1.000000	0.000000	
2003	1.000000	0.000000	
2004	1.000000	0.000000	
2005	1.000000	0.000000	
2006	0.891850	0.108150	
2007	0.936881	0.063119	
2008	0.901554	0.098446	
2009	0.808765	0.191235	
2010	0.890365	0.109635	
2011	0.817997	0.182003	
2012	0.772450	0.227550	
2013	0.749066	0.250934	
2014	0.739325	0.260675	
2015	0.870406	0.129594	
2016	0.679920	0.320080	
2017	0.734262	0.265738	
2018	0.649606	0.350394	
