YEAR	C0006147	C0028677	
1945	0.535714	0.464286	
1946	0.376884	0.623116	
1947	0.475138	0.524862	
1948	0.518519	0.481481	
1949	0.441441	0.558559	
1950	0.458015	0.541985	
1951	0.445682	0.554318	
1952	0.693023	0.306977	
1953	0.553299	0.446701	
1954	0.674033	0.325967	
1955	0.709677	0.290323	
1956	0.642857	0.357143	
1957	0.607595	0.392405	
1958	0.675325	0.324675	
1959	0.636364	0.363636	
1960	0.652850	0.347150	
1961	0.603015	0.396985	
1962	0.660494	0.339506	
1963	0.664804	0.335196	
1964	0.538776	0.461224	
1965	0.185930	0.814070	
1966	0.030788	0.969212	
1967	0.075758	0.924242	
1968	0.047535	0.952465	
1969	0.103837	0.896163	
1970	0.057307	0.942693	
1971	0.059379	0.940621	
1972	0.210210	0.789790	
1973	0.090625	0.909375	
1974	0.119342	0.880658	
1975	0.435028	0.564972	
1976	0.509278	0.490722	
1977	0.418750	0.581250	
1978	0.543986	0.456014	
1979	0.580556	0.419444	
1980	0.511660	0.488340	
1981	0.535613	0.464387	
1982	0.639490	0.360510	
1983	0.650616	0.349384	
1984	0.612188	0.387812	
1985	0.589017	0.410983	
1986	0.632216	0.367784	
1987	0.570342	0.429658	
1988	0.575707	0.424293	
1989	0.645610	0.354390	
1990	0.707429	0.292571	
1991	0.751364	0.248636	
1992	0.749245	0.250755	
1993	0.755662	0.244338	
1994	0.784518	0.215482	
1995	0.806825	0.193175	
1996	0.796519	0.203481	
1997	0.784774	0.215226	
1998	0.778761	0.221239	
1999	0.777876	0.222124	
2000	0.809488	0.190512	
2001	0.809473	0.190527	
2002	0.775196	0.224804	
2003	0.839054	0.160946	
2004	0.810653	0.189347	
2005	0.825343	0.174657	
2006	0.848632	0.151368	
2007	0.851744	0.148256	
2008	0.839509	0.160491	
2009	0.820795	0.179205	
2010	0.825815	0.174185	
2011	0.840934	0.159066	
2012	0.889062	0.110938	
2013	0.908181	0.091819	
2014	0.901263	0.098737	
2015	0.906312	0.093688	
2016	0.931479	0.068521	
2017	0.927659	0.072341	
2018	0.929910	0.070090	
