YEAR	C0206601	C0242961	
1983	0.000000	1.000000	
1984	0.000000	0.000000	
1985	0.000000	0.000000	
1986	0.000000	0.000000	
1987	0.000000	0.000000	
1988	0.000000	0.000000	
1989	0.000000	0.000000	
1990	0.000000	0.000000	
1991	0.000000	0.000000	
1992	0.000000	1.000000	
1993	0.837838	0.162162	
1994	0.280303	0.719697	
1995	0.225681	0.774319	
1996	0.184332	0.815668	
1997	0.281065	0.718935	
1998	0.274021	0.725979	
1999	0.232804	0.767196	
2000	0.149206	0.850794	
2001	0.153465	0.846535	
2002	0.182432	0.817568	
2003	0.133705	0.866295	
2004	0.149660	0.850340	
2005	0.088608	0.911392	
2006	0.160075	0.839925	
2007	0.075072	0.924928	
2008	0.107306	0.892694	
2009	0.120466	0.879534	
2010	0.087420	0.912580	
2011	0.091009	0.908991	
2012	0.110497	0.889503	
2013	0.109700	0.890300	
2014	0.147826	0.852174	
2015	0.178707	0.821293	
2016	0.177778	0.822222	
2017	0.105578	0.894422	
2018	0.326923	0.673077	
