YEAR	C0030131	C0030625	C0078944	C0149576	C0429865	
1945	0.000000	0.000000	0.000000	1.000000	0.000000	
1946	0.000000	0.000000	0.000000	0.000000	0.000000	
1947	0.000000	0.000000	0.000000	0.000000	0.000000	
1948	0.000000	0.000000	0.000000	1.000000	0.000000	
1949	0.000000	0.000000	0.000000	0.000000	0.000000	
1950	0.000000	0.000000	0.000000	0.000000	0.000000	
1951	0.000000	1.000000	0.000000	0.000000	0.000000	
1952	0.000000	1.000000	0.000000	0.000000	0.000000	
1953	0.000000	0.500000	0.000000	0.500000	0.000000	
1954	0.000000	0.000000	0.000000	1.000000	0.000000	
1955	0.000000	0.333333	0.000000	0.666667	0.000000	
1956	0.000000	1.000000	0.000000	0.000000	0.000000	
1957	0.000000	0.888889	0.000000	0.111111	0.000000	
1958	0.000000	0.666667	0.000000	0.333333	0.000000	
1959	0.000000	0.571429	0.000000	0.428571	0.000000	
1960	0.000000	0.928571	0.000000	0.000000	0.071429	
1961	0.000000	0.600000	0.000000	0.400000	0.000000	
1962	0.000000	0.700000	0.000000	0.300000	0.000000	
1963	0.000000	0.666667	0.000000	0.266667	0.066667	
1964	0.000000	0.555556	0.000000	0.388889	0.055556	
1965	0.000000	0.928571	0.000000	0.071429	0.000000	
1966	0.000000	1.000000	0.000000	0.000000	0.000000	
1967	0.000000	1.000000	0.000000	0.000000	0.000000	
1968	0.000000	1.000000	0.000000	0.000000	0.000000	
1969	0.000000	1.000000	0.000000	0.000000	0.000000	
1970	0.000000	1.000000	0.000000	0.000000	0.000000	
1971	0.000000	1.000000	0.000000	0.000000	0.000000	
1972	0.000000	1.000000	0.000000	0.000000	0.000000	
1973	0.000000	1.000000	0.000000	0.000000	0.000000	
1974	0.090909	0.909091	0.000000	0.000000	0.000000	
1975	0.394737	0.605263	0.000000	0.000000	0.000000	
1976	0.431818	0.568182	0.000000	0.000000	0.000000	
1977	0.355372	0.644628	0.000000	0.000000	0.000000	
1978	0.562092	0.437908	0.000000	0.000000	0.000000	
1979	0.411765	0.588235	0.000000	0.000000	0.000000	
1980	0.417910	0.582090	0.000000	0.000000	0.000000	
1981	0.445378	0.554622	0.000000	0.000000	0.000000	
1982	0.525974	0.474026	0.000000	0.000000	0.000000	
1983	0.246377	0.753623	0.000000	0.000000	0.000000	
1984	0.534722	0.465278	0.000000	0.000000	0.000000	
1985	0.601010	0.398990	0.000000	0.000000	0.000000	
1986	0.628743	0.371257	0.000000	0.000000	0.000000	
1987	0.621212	0.378788	0.000000	0.000000	0.000000	
1988	0.326203	0.673797	0.000000	0.000000	0.000000	
1989	0.439394	0.469697	0.090909	0.000000	0.000000	
1990	0.235808	0.288210	0.475983	0.000000	0.000000	
1991	0.231111	0.100000	0.666667	0.000000	0.002222	
1992	0.216216	0.123552	0.660232	0.000000	0.000000	
1993	0.159751	0.149378	0.690871	0.000000	0.000000	
1994	0.206122	0.100000	0.693878	0.000000	0.000000	
1995	0.151020	0.134694	0.714286	0.000000	0.000000	
1996	0.134199	0.069264	0.796537	0.000000	0.000000	
1997	0.079523	0.139165	0.781312	0.000000	0.000000	
1998	0.033473	0.127615	0.838912	0.000000	0.000000	
1999	0.086957	0.118357	0.739130	0.045894	0.009662	
2000	0.171975	0.082803	0.641189	0.104034	0.000000	
2001	0.113402	0.119588	0.591753	0.045361	0.129897	
2002	0.042139	0.027553	0.520259	0.095624	0.314425	
2003	0.031564	0.037303	0.444763	0.030129	0.456241	
2004	0.038136	0.025424	0.277966	0.105932	0.552542	
2005	0.035986	0.021453	0.292734	0.033218	0.616609	
2006	0.019059	0.017272	0.188207	0.052412	0.723049	
2007	0.011787	0.014144	0.193305	0.048562	0.732202	
2008	0.013203	0.022633	0.143719	0.033572	0.786873	
2009	0.005089	0.018130	0.148219	0.043893	0.784669	
2010	0.000680	0.015196	0.090043	0.023361	0.870719	
2011	0.002916	0.008942	0.076983	0.012830	0.898328	
2012	0.000550	0.011129	0.085051	0.017038	0.886232	
2013	0.000617	0.003084	0.064512	0.026274	0.905514	
2014	0.016378	0.005498	0.075593	0.021762	0.880770	
2015	0.005082	0.009859	0.089847	0.011282	0.883931	
2016	0.001648	0.005534	0.119746	0.025668	0.847404	
2017	0.000000	0.004927	0.098774	0.014660	0.881639	
2018	0.000000	0.000947	0.074179	0.032828	0.892045	
2019	0.000000	0.000000	0.000000	0.000000	1.000000	
