YEAR	C0017916	C0917783	
1946	0.666667	0.333333	
1947	0.625000	0.375000	
1948	0.750000	0.250000	
1949	0.714286	0.285714	
1950	0.692308	0.307692	
1951	0.571429	0.428571	
1952	0.769231	0.230769	
1953	0.666667	0.333333	
1954	0.714286	0.285714	
1955	0.638889	0.361111	
1956	0.590909	0.409091	
1957	0.813953	0.186047	
1958	0.810811	0.189189	
1959	0.785714	0.214286	
1960	0.829787	0.170213	
1961	0.877551	0.122449	
1962	0.732394	0.267606	
1963	0.833333	0.166667	
1964	0.764706	0.235294	
1965	0.823529	0.176471	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	1.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	0.909774	0.090226	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	0.985401	0.014599	
2000	1.000000	0.000000	
2001	0.951613	0.048387	
2002	0.150000	0.850000	
2003	0.171429	0.828571	
2004	0.730769	0.269231	
2005	0.841176	0.158824	
2006	0.508772	0.491228	
2007	0.437500	0.562500	
2008	0.581818	0.418182	
2009	0.515152	0.484848	
2010	0.681818	0.318182	
2011	0.647059	0.352941	
2012	0.666667	0.333333	
2013	0.692308	0.307692	
2014	0.897590	0.102410	
2015	0.973856	0.026144	
2016	0.895833	0.104167	
2017	0.992248	0.007752	
2018	0.450000	0.550000	
