YEAR	C0016538	C0033363	
1946	0.500000	0.500000	
1947	0.200000	0.800000	
1948	0.000000	1.000000	
1949	0.333333	0.666667	
1950	0.250000	0.750000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.066667	0.933333	
1954	0.055556	0.944444	
1955	0.100000	0.900000	
1956	0.000000	1.000000	
1957	0.047619	0.952381	
1958	0.312500	0.687500	
1959	0.181818	0.818182	
1960	0.000000	1.000000	
1961	0.083333	0.916667	
1962	0.111111	0.888889	
1963	0.444444	0.555556	
1964	0.105263	0.894737	
1965	0.125000	0.875000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	1.000000	
1969	0.000000	0.000000	
1970	0.250000	0.750000	
1971	0.714286	0.285714	
1972	0.363636	0.636364	
1973	0.666667	0.333333	
1974	0.636364	0.363636	
1975	0.400000	0.600000	
1976	0.678571	0.321429	
1977	0.181818	0.818182	
1978	0.473684	0.526316	
1979	0.984615	0.015385	
1980	0.951613	0.048387	
1981	0.931818	0.068182	
1982	0.964286	0.035714	
1983	0.952096	0.047904	
1984	0.939394	0.060606	
1985	0.957219	0.042781	
1986	0.939394	0.060606	
1987	0.979310	0.020690	
1988	0.976562	0.023438	
1989	0.895161	0.104839	
1990	0.962963	0.037037	
1991	0.968992	0.031008	
1992	0.989619	0.010381	
1993	0.963235	0.036765	
1994	0.949640	0.050360	
1995	0.913223	0.086777	
1996	0.907407	0.092593	
1997	0.902062	0.097938	
1998	0.925676	0.074324	
1999	0.967078	0.032922	
2000	0.966346	0.033654	
2001	0.985915	0.014085	
2002	0.987461	0.012539	
2003	0.968454	0.031546	
2004	0.953659	0.046341	
2005	0.960938	0.039062	
2006	0.974943	0.025057	
2007	0.990141	0.009859	
2008	0.990318	0.009682	
2009	0.966926	0.033074	
2010	0.991333	0.008667	
2011	0.988397	0.011603	
2012	0.980374	0.019626	
2013	0.995078	0.004922	
2014	0.997340	0.002660	
2015	0.993999	0.006001	
2016	0.998679	0.001321	
2017	0.986977	0.013023	
2018	0.996325	0.003675	
