YEAR	C0162731	C0242767	
1945	0.000000	1.000000	
1946	0.000000	1.000000	
1947	0.200000	0.800000	
1948	0.000000	1.000000	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.250000	0.750000	
1952	0.700000	0.300000	
1953	0.571429	0.428571	
1954	0.200000	0.800000	
1955	1.000000	0.000000	
1956	0.500000	0.500000	
1957	0.428571	0.571429	
1958	0.700000	0.300000	
1959	0.600000	0.400000	
1960	1.000000	0.000000	
1961	0.700000	0.300000	
1962	0.692308	0.307692	
1963	0.937500	0.062500	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	0.000000	0.000000	
1967	0.000000	0.000000	
1968	0.000000	0.000000	
1969	0.000000	0.000000	
1970	0.000000	0.000000	
1971	0.000000	0.000000	
1972	0.000000	0.000000	
1973	0.000000	0.000000	
1974	0.000000	1.000000	
1975	0.000000	0.000000	
1976	0.000000	0.000000	
1977	0.000000	0.000000	
1978	0.000000	0.000000	
1979	0.000000	0.000000	
1980	0.000000	0.000000	
1981	0.000000	0.000000	
1982	0.000000	0.000000	
1983	0.000000	0.000000	
1984	0.000000	0.000000	
1985	0.000000	0.000000	
1986	0.000000	0.000000	
1987	0.000000	0.000000	
1988	0.000000	0.000000	
1989	0.000000	0.000000	
1990	0.000000	0.000000	
1991	0.000000	1.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	0.700000	0.300000	
1995	0.287500	0.712500	
1996	0.445946	0.554054	
1997	0.525773	0.474227	
1998	0.341463	0.658537	
1999	0.125000	0.875000	
2000	0.142241	0.857759	
2001	0.088496	0.911504	
2002	0.049180	0.950820	
2003	0.045699	0.954301	
2004	0.095465	0.904535	
2005	0.040284	0.959716	
2006	0.040146	0.959854	
2007	0.044094	0.955906	
2008	0.057217	0.942783	
2009	0.102669	0.897331	
2010	0.046028	0.953972	
2011	0.070390	0.929610	
2012	0.075530	0.924470	
2013	0.044469	0.955531	
2014	0.046488	0.953512	
2015	0.032694	0.967306	
2016	0.030624	0.969376	
2017	0.058193	0.941807	
2018	0.007264	0.992736	
