YEAR	C0038160	C0038170	
1945	0.133333	0.866667	
1946	0.142857	0.857143	
1947	0.107143	0.892857	
1948	0.111111	0.888889	
1949	0.102041	0.897959	
1950	0.123077	0.876923	
1951	0.188406	0.811594	
1952	0.250000	0.750000	
1953	0.211268	0.788732	
1954	0.297619	0.702381	
1955	0.278351	0.721649	
1956	0.474820	0.525180	
1957	0.284722	0.715278	
1958	0.410891	0.589109	
1959	0.340081	0.659919	
1960	0.307065	0.692935	
1961	0.312925	0.687075	
1962	0.252315	0.747685	
1963	0.202811	0.797189	
1964	0.187500	0.812500	
1965	0.185897	0.814103	
1966	0.176471	0.823529	
1967	0.186207	0.813793	
1968	0.111562	0.888438	
1969	0.088300	0.911700	
1970	0.095718	0.904282	
1971	0.129787	0.870213	
1972	0.084479	0.915521	
1973	0.089695	0.910305	
1974	0.072937	0.927063	
1975	0.101106	0.898894	
1976	0.175978	0.824022	
1977	0.263566	0.736434	
1978	0.250653	0.749347	
1979	0.261290	0.738710	
1980	0.234160	0.765840	
1981	0.243056	0.756944	
1982	0.224432	0.775568	
1983	0.237209	0.762791	
1984	0.222749	0.777251	
1985	0.205063	0.794937	
1986	0.229282	0.770718	
1987	0.254630	0.745370	
1988	0.146739	0.853261	
1989	0.203252	0.796748	
1990	0.142578	0.857422	
1991	0.173242	0.826758	
1992	0.122449	0.877551	
1993	0.164975	0.835025	
1994	0.139630	0.860370	
1995	0.194346	0.805654	
1996	0.139186	0.860814	
1997	0.204494	0.795506	
1998	0.105051	0.894949	
1999	0.161290	0.838710	
2000	0.143478	0.856522	
2001	0.167391	0.832609	
2002	0.163900	0.836100	
2003	0.150943	0.849057	
2004	0.148897	0.851103	
2005	0.140753	0.859247	
2006	0.197122	0.802878	
2007	0.166900	0.833100	
2008	0.204787	0.795213	
2009	0.202970	0.797030	
2010	0.270195	0.729805	
2011	0.241903	0.758097	
2012	0.161011	0.838989	
2013	0.220894	0.779106	
2014	0.172062	0.827938	
2015	0.164993	0.835007	
2016	0.266744	0.733256	
2017	0.173964	0.826036	
2018	0.162044	0.837956	
