YEAR	C0040975	C0678118	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	1.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	0.888889	0.111111	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	0.896552	0.103448	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	0.923077	0.076923	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	0.894737	0.105263	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	0.500000	0.500000	
1997	0.000000	1.000000	
1998	0.000000	0.000000	
1999	0.000000	0.000000	
2000	0.000000	0.000000	
2001	0.000000	0.000000	
2002	0.000000	1.000000	
2003	0.000000	1.000000	
2004	0.009653	0.990347	
2005	0.000000	1.000000	
2006	0.000000	1.000000	
2007	0.000000	1.000000	
2008	0.000000	1.000000	
2009	0.000000	1.000000	
2010	0.000000	1.000000	
2011	0.000000	1.000000	
2012	0.000000	1.000000	
2013	0.000000	1.000000	
2014	0.000515	0.999485	
2015	0.000222	0.999778	
2016	0.000000	1.000000	
2017	0.000000	1.000000	
2018	0.000000	1.000000	
2019	0.000000	1.000000	
