YEAR	C0041070	C0077404	
1945	1.000000	0.000000	
1946	1.000000	0.000000	
1947	1.000000	0.000000	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	1.000000	0.000000	
1952	1.000000	0.000000	
1953	1.000000	0.000000	
1954	1.000000	0.000000	
1955	1.000000	0.000000	
1956	0.000000	0.000000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	1.000000	0.000000	
1960	1.000000	0.000000	
1961	1.000000	0.000000	
1962	1.000000	0.000000	
1963	1.000000	0.000000	
1964	1.000000	0.000000	
1965	1.000000	0.000000	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	0.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	0.000000	1.000000	
1982	0.540000	0.460000	
1983	0.261905	0.738095	
1984	0.122222	0.877778	
1985	0.209877	0.790123	
1986	0.268657	0.731343	
1987	0.080808	0.919192	
1988	0.217742	0.782258	
1989	0.175926	0.824074	
1990	0.434211	0.565789	
1991	0.187845	0.812155	
1992	0.158470	0.841530	
1993	0.170732	0.829268	
1994	0.126100	0.873900	
1995	0.161538	0.838462	
1996	0.123913	0.876087	
1997	0.232932	0.767068	
1998	0.116188	0.883812	
1999	0.123153	0.876847	
2000	0.237872	0.762128	
2001	0.334513	0.665487	
2002	0.340369	0.659631	
2003	0.295652	0.704348	
2004	0.384706	0.615294	
2005	0.482716	0.517284	
2006	0.329396	0.670604	
2007	0.327546	0.672454	
2008	0.487443	0.512557	
2009	0.361678	0.638322	
2010	0.458812	0.541188	
2011	0.293732	0.706268	
2012	0.192821	0.807179	
2013	0.247126	0.752874	
2014	0.284456	0.715544	
2015	0.225785	0.774215	
2016	0.159900	0.840100	
2017	0.211991	0.788009	
2018	0.135135	0.864865	
