YEAR	C0021759	C0040162	
1956	0.000000	1.000000	
1957	0.000000	0.000000	
1958	0.000000	0.000000	
1959	0.000000	1.000000	
1960	0.000000	0.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.000000	1.000000	
1964	0.000000	1.000000	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.000000	1.000000	
1976	0.000000	1.000000	
1977	0.000000	1.000000	
1978	0.000000	1.000000	
1979	0.000000	1.000000	
1980	0.006410	0.993590	
1981	0.020080	0.979920	
1982	0.064696	0.935304	
1983	0.026667	0.973333	
1984	0.015642	0.984358	
1985	0.049928	0.950072	
1986	0.040218	0.959782	
1987	0.065347	0.934653	
1988	0.073093	0.926907	
1989	0.045174	0.954826	
1990	0.057130	0.942870	
1991	0.071544	0.928456	
1992	0.062141	0.937859	
1993	0.112169	0.887831	
1994	0.080959	0.919041	
1995	0.128739	0.871261	
1996	0.122400	0.877600	
1997	0.147583	0.852417	
1998	0.152433	0.847567	
1999	0.168000	0.832000	
2000	0.167800	0.832200	
2001	0.311231	0.688769	
2002	0.169100	0.830900	
2003	0.178879	0.821121	
2004	0.149338	0.850662	
2005	0.167539	0.832461	
2006	0.159329	0.840671	
2007	0.086735	0.913265	
2008	0.237251	0.762749	
2009	0.104348	0.895652	
2010	0.151869	0.848131	
2011	0.180982	0.819018	
2012	0.102767	0.897233	
2013	0.201022	0.798978	
2014	0.112948	0.887052	
2015	0.212838	0.787162	
2016	0.354086	0.645914	
2017	0.623377	0.376623	
2018	0.095000	0.905000	
