YEAR	C0021756	C0040052	
1958	0.000000	1.000000	
1959	0.000000	0.000000	
1960	0.000000	0.000000	
1961	0.000000	0.000000	
1962	0.000000	0.000000	
1963	0.000000	0.000000	
1964	1.000000	0.000000	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	0.000000	
1970	0.000000	1.000000	
1971	0.000000	0.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.000000	1.000000	
1976	0.000000	1.000000	
1977	0.121212	0.878788	
1978	0.600000	0.400000	
1979	0.238095	0.761905	
1980	0.903846	0.096154	
1981	0.946996	0.053004	
1982	0.976531	0.023469	
1983	0.992740	0.007260	
1984	0.999252	0.000748	
1985	0.990284	0.009716	
1986	0.992575	0.007425	
1987	0.992900	0.007100	
1988	0.996275	0.003725	
1989	0.994672	0.005328	
1990	0.995130	0.004870	
1991	0.996677	0.003323	
1992	0.993599	0.006401	
1993	0.997875	0.002125	
1994	0.988029	0.011971	
1995	0.924361	0.075639	
1996	0.843516	0.156484	
1997	0.812283	0.187717	
1998	0.797790	0.202210	
1999	0.824837	0.175163	
2000	0.806055	0.193945	
2001	0.811249	0.188751	
2002	0.847510	0.152490	
2003	0.917926	0.082074	
2004	0.858344	0.141656	
2005	0.895026	0.104974	
2006	0.868443	0.131557	
2007	0.925321	0.074679	
2008	0.870765	0.129235	
2009	0.921636	0.078364	
2010	0.909298	0.090702	
2011	0.926280	0.073720	
2012	0.918743	0.081257	
2013	0.941968	0.058032	
2014	0.956360	0.043640	
2015	0.856081	0.143919	
2016	0.919778	0.080222	
2017	0.902730	0.097270	
2018	0.831980	0.168020	
