YEAR	C0041618	C0041703	
1945	0.040000	0.960000	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.007353	0.992647	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.000000	1.000000	
1964	0.000000	1.000000	
1965	0.000000	1.000000	
1966	0.021186	0.978814	
1967	0.090909	0.909091	
1968	0.102339	0.897661	
1969	0.192105	0.807895	
1970	0.197368	0.802632	
1971	0.197802	0.802198	
1972	0.296471	0.703529	
1973	0.294248	0.705752	
1974	0.341176	0.658824	
1975	0.487725	0.512275	
1976	0.483894	0.516106	
1977	0.577481	0.422519	
1978	0.570776	0.429224	
1979	0.607705	0.392295	
1980	0.633582	0.366418	
1981	0.654659	0.345341	
1982	0.640882	0.359118	
1983	0.683939	0.316061	
1984	0.693899	0.306101	
1985	0.707422	0.292578	
1986	0.714942	0.285058	
1987	0.700101	0.299899	
1988	0.738085	0.261915	
1989	0.737327	0.262673	
1990	0.696451	0.303549	
1991	0.680650	0.319350	
1992	0.628435	0.371565	
1993	0.652035	0.347965	
1994	0.604870	0.395130	
1995	0.535981	0.464019	
1996	0.538022	0.461978	
1997	0.545767	0.454233	
1998	0.535473	0.464527	
1999	0.506848	0.493152	
2000	0.512816	0.487184	
2001	0.523282	0.476718	
2002	0.478595	0.521405	
2003	0.452989	0.547011	
2004	0.438415	0.561585	
2005	0.431527	0.568473	
2006	0.392888	0.607112	
2007	0.417159	0.582841	
2008	0.389833	0.610167	
2009	0.364763	0.635237	
2010	0.362802	0.637198	
2011	0.374724	0.625276	
2012	0.374332	0.625668	
2013	0.355672	0.644328	
2014	0.348141	0.651859	
2015	0.358340	0.641660	
2016	0.382511	0.617489	
2017	0.391277	0.608723	
2018	0.450684	0.549316	
2019	0.153846	0.846154	
