YEAR	C0043395	C0301508	
1945	0.800000	0.200000	
1946	0.846154	0.153846	
1947	0.866667	0.133333	
1948	1.000000	0.000000	
1949	1.000000	0.000000	
1950	1.000000	0.000000	
1951	0.953488	0.046512	
1952	0.972973	0.027027	
1953	0.864865	0.135135	
1954	0.921053	0.078947	
1955	0.918919	0.081081	
1956	0.950000	0.050000	
1957	1.000000	0.000000	
1958	1.000000	0.000000	
1959	0.880000	0.120000	
1960	0.892857	0.107143	
1961	0.846154	0.153846	
1962	0.700000	0.300000	
1963	0.882353	0.117647	
1964	0.857143	0.142857	
1965	0.954545	0.045455	
1966	1.000000	0.000000	
1967	1.000000	0.000000	
1968	1.000000	0.000000	
1969	1.000000	0.000000	
1970	1.000000	0.000000	
1971	1.000000	0.000000	
1972	1.000000	0.000000	
1973	1.000000	0.000000	
1974	1.000000	0.000000	
1975	1.000000	0.000000	
1976	1.000000	0.000000	
1977	1.000000	0.000000	
1978	1.000000	0.000000	
1979	1.000000	0.000000	
1980	1.000000	0.000000	
1981	1.000000	0.000000	
1982	1.000000	0.000000	
1983	1.000000	0.000000	
1984	1.000000	0.000000	
1985	1.000000	0.000000	
1986	1.000000	0.000000	
1987	1.000000	0.000000	
1988	1.000000	0.000000	
1989	1.000000	0.000000	
1990	1.000000	0.000000	
1991	1.000000	0.000000	
1992	1.000000	0.000000	
1993	1.000000	0.000000	
1994	1.000000	0.000000	
1995	1.000000	0.000000	
1996	1.000000	0.000000	
1997	1.000000	0.000000	
1998	1.000000	0.000000	
1999	0.936620	0.063380	
2000	0.866667	0.133333	
2001	0.581921	0.418079	
2002	0.651685	0.348315	
2003	0.724638	0.275362	
2004	0.719388	0.280612	
2005	0.449495	0.550505	
2006	0.610063	0.389937	
2007	0.570342	0.429658	
2008	0.539394	0.460606	
2009	0.549738	0.450262	
2010	0.546075	0.453925	
2011	0.591017	0.408983	
2012	0.654255	0.345745	
2013	0.589781	0.410219	
2014	0.647925	0.352075	
2015	0.509338	0.490662	
2016	0.649590	0.350410	
2017	0.681373	0.318627	
2018	0.607477	0.392523	
