YEAR	C0011485	C0012764	
1945	0.000000	1.000000	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.000000	1.000000	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.400000	0.600000	
1959	0.200000	0.800000	
1960	0.857143	0.142857	
1961	1.000000	0.000000	
1962	0.833333	0.166667	
1963	0.454545	0.545455	
1964	0.333333	0.666667	
1965	0.333333	0.666667	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.360000	0.640000	
1974	0.514286	0.485714	
1975	0.817073	0.182927	
1976	0.826087	0.173913	
1977	0.795455	0.204545	
1978	0.734043	0.265957	
1979	0.644737	0.355263	
1980	0.589286	0.410714	
1981	0.722222	0.277778	
1982	0.873684	0.126316	
1983	0.718519	0.281481	
1984	0.918367	0.081633	
1985	0.815126	0.184874	
1986	0.915254	0.084746	
1987	0.882353	0.117647	
1988	0.821429	0.178571	
1989	0.748252	0.251748	
1990	0.658537	0.341463	
1991	0.603774	0.396226	
1992	0.609375	0.390625	
1993	0.701389	0.298611	
1994	0.628788	0.371212	
1995	0.646552	0.353448	
1996	0.717742	0.282258	
1997	0.795699	0.204301	
1998	0.722689	0.277311	
1999	0.780220	0.219780	
2000	0.513514	0.486486	
2001	0.643836	0.356164	
2002	0.417355	0.582645	
2003	0.659218	0.340782	
2004	0.718121	0.281879	
2005	0.632653	0.367347	
2006	0.590909	0.409091	
2007	0.464912	0.535088	
2008	0.733333	0.266667	
2009	0.540000	0.460000	
2010	0.646465	0.353535	
2011	0.427481	0.572519	
2012	0.673993	0.326007	
2013	0.707692	0.292308	
2014	0.617261	0.382739	
2015	0.571231	0.428769	
2016	0.439919	0.560081	
2017	0.341317	0.658683	
2018	0.437956	0.562044	
