YEAR	C0019829	C0036202	
1945	0.333333	0.666667	
1946	0.289474	0.710526	
1947	0.480000	0.520000	
1948	0.398148	0.601852	
1949	0.532110	0.467890	
1950	0.486607	0.513393	
1951	0.514925	0.485075	
1952	0.471545	0.528455	
1953	0.486891	0.513109	
1954	0.518382	0.481618	
1955	0.466431	0.533569	
1956	0.496479	0.503521	
1957	0.478261	0.521739	
1958	0.429553	0.570447	
1959	0.481848	0.518152	
1960	0.474638	0.525362	
1961	0.381988	0.618012	
1962	0.436860	0.563140	
1963	0.483871	0.516129	
1964	0.362613	0.637387	
1965	0.524430	0.475570	
1966	0.622166	0.377834	
1967	0.508475	0.491525	
1968	0.542793	0.457207	
1969	0.526190	0.473810	
1970	0.582569	0.417431	
1971	0.605469	0.394531	
1972	0.659864	0.340136	
1973	0.734435	0.265565	
1974	0.712146	0.287854	
1975	0.717257	0.282743	
1976	0.588918	0.411082	
1977	0.586333	0.413667	
1978	0.699504	0.300496	
1979	0.613416	0.386584	
1980	0.632791	0.367209	
1981	0.617891	0.382109	
1982	0.634437	0.365563	
1983	0.574840	0.425160	
1984	0.572572	0.427428	
1985	0.537436	0.462564	
1986	0.562847	0.437153	
1987	0.571057	0.428943	
1988	0.565752	0.434248	
1989	0.594668	0.405332	
1990	0.569992	0.430008	
1991	0.648256	0.351744	
1992	0.668143	0.331857	
1993	0.686080	0.313920	
1994	0.648932	0.351068	
1995	0.695137	0.304863	
1996	0.707457	0.292543	
1997	0.687262	0.312738	
1998	0.657482	0.342518	
1999	0.659549	0.340451	
2000	0.652190	0.347810	
2001	0.656974	0.343026	
2002	0.654953	0.345047	
2003	0.696752	0.303248	
2004	0.656172	0.343828	
2005	0.601046	0.398954	
2006	0.684260	0.315740	
2007	0.575433	0.424567	
2008	0.636521	0.363479	
2009	0.632293	0.367707	
2010	0.590428	0.409572	
2011	0.548626	0.451374	
2012	0.584479	0.415521	
2013	0.575203	0.424797	
2014	0.557887	0.442113	
2015	0.588125	0.411875	
2016	0.571938	0.428062	
2017	0.576594	0.423406	
2018	0.512583	0.487417	
