YEAR	C0018120	C0221971	
1949	6	3	
1950	5	2	
1951	13	8	
1952	12	7	
1953	6	6	
1954	15	6	
1955	9	5	
1956	12	8	
1957	11	15	
1958	9	9	
1959	12	14	
1960	12	12	
1961	12	12	
1962	9	17	
1963	8	9	
1964	17	7	
1965	14	5	
1966	15	0	
1967	16	0	
1968	36	6	
1969	21	0	
1970	13	0	
1971	19	0	
1972	35	0	
1973	47	0	
1974	82	0	
1975	393	0	
1976	356	0	
1977	353	0	
1978	358	0	
1979	348	0	
1980	389	0	
1981	504	0	
1982	576	0	
1983	736	0	
1984	828	0	
1985	905	0	
1986	969	0	
1987	1146	0	
1988	740	0	
1989	860	0	
1990	1001	0	
1991	939	0	
1992	949	0	
1993	1227	0	
1994	1225	3	
1995	1034	119	
1996	1338	325	
1997	1658	380	
1998	1804	395	
1999	1837	356	
2000	2364	461	
2001	2172	404	
2002	2054	393	
2003	2533	650	
2004	2460	475	
2005	2596	704	
2006	2732	641	
2007	2437	659	
2008	2551	744	
2009	3455	812	
2010	4249	1040	
2011	4761	1046	
2012	4937	2177	
2013	6296	2255	
2014	7077	2326	
2015	9035	2617	
2016	7799	2053	
2017	8083	1690	
2018	3223	725	
