YEAR	C0016204	C0017110	
1945	2	5	
1946	1	39	
1947	9	53	
1948	7	24	
1949	6	19	
1950	0	37	
1951	4	35	
1952	2	35	
1953	1	34	
1954	2	47	
1955	0	39	
1956	1	36	
1957	0	34	
1958	2	48	
1959	1	50	
1960	2	57	
1961	3	40	
1962	5	54	
1963	5	77	
1964	5	76	
1965	3	57	
1966	7	68	
1967	4	64	
1968	13	75	
1969	6	76	
1970	7	92	
1971	12	95	
1972	9	105	
1973	0	96	
1974	3	89	
1975	25	216	
1976	2	197	
1977	14	250	
1978	4	182	
1979	14	204	
1980	14	258	
1981	10	233	
1982	7	259	
1983	5	215	
1984	7	257	
1985	9	274	
1986	6	275	
1987	7	322	
1988	17	217	
1989	7	283	
1990	15	363	
1991	15	290	
1992	15	268	
1993	21	293	
1994	13	347	
1995	36	354	
1996	55	252	
1997	34	328	
1998	51	356	
1999	40	454	
2000	45	475	
2001	65	807	
2002	41	946	
2003	43	1055	
2004	72	1090	
2005	59	1385	
2006	151	1340	
2007	134	1608	
2008	79	1906	
2009	76	2435	
2010	105	3045	
2011	169	3771	
2012	76	3959	
2013	196	5314	
2014	247	5638	
2015	78	3646	
2016	143	3148	
2017	216	1771	
2018	39	1101	
