YEAR	C0010343	C0018810	
1947	0	8	
1948	0	8	
1949	0	12	
1950	6	10	
1951	6	24	
1952	2	19	
1953	2	25	
1954	11	8	
1955	6	20	
1956	3	14	
1957	1	23	
1958	2	38	
1959	2	15	
1960	3	28	
1961	4	35	
1962	2	45	
1963	0	74	
1964	6	86	
1965	0	100	
1966	0	120	
1967	0	134	
1968	0	152	
1969	0	221	
1970	0	241	
1971	0	299	
1972	0	289	
1973	0	236	
1974	0	323	
1975	0	1844	
1976	0	2027	
1977	0	1686	
1978	0	1564	
1979	0	1906	
1980	0	2120	
1981	0	2315	
1982	0	2827	
1983	0	3101	
1984	0	3783	
1985	0	3619	
1986	0	3977	
1987	0	3793	
1988	0	3969	
1989	0	4658	
1990	0	4383	
1991	7	4631	
1992	47	4685	
1993	67	4517	
1994	83	4540	
1995	91	4890	
1996	92	4879	
1997	94	5199	
1998	145	5177	
1999	136	5407	
2000	163	5027	
2001	143	5516	
2002	247	5547	
2003	236	5396	
2004	261	5601	
2005	307	6093	
2006	369	6744	
2007	359	7218	
2008	321	7448	
2009	408	8379	
2010	638	8986	
2011	640	10591	
2012	808	11537	
2013	629	14199	
2014	694	16478	
2015	610	17629	
2016	488	19259	
2017	630	19503	
2018	275	6601	
