YEAR	C0022341	C0031106	
1946	15	0	
1947	15	2	
1948	23	4	
1949	4	7	
1950	21	17	
1951	29	28	
1952	24	29	
1953	31	25	
1954	41	18	
1955	29	12	
1956	36	5	
1957	42	1	
1958	41	2	
1959	63	2	
1960	38	1	
1961	78	0	
1962	110	1	
1963	107	2	
1964	151	4	
1965	136	7	
1966	111	0	
1967	129	0	
1968	148	0	
1969	189	0	
1970	141	0	
1971	128	0	
1972	125	0	
1973	134	0	
1974	156	0	
1975	313	0	
1976	235	0	
1977	271	0	
1978	266	0	
1979	341	0	
1980	315	0	
1981	319	0	
1982	335	0	
1983	449	49	
1984	464	119	
1985	601	116	
1986	504	131	
1987	529	94	
1988	635	77	
1989	831	56	
1990	799	114	
1991	868	125	
1992	1033	77	
1993	1077	92	
1994	1328	76	
1995	1249	42	
1996	1386	50	
1997	1447	43	
1998	1545	53	
1999	1770	31	
2000	2006	46	
2001	2101	45	
2002	2318	67	
2003	2517	54	
2004	3059	37	
2005	3073	25	
2006	3555	19	
2007	3780	16	
2008	4693	65	
2009	4330	142	
2010	5643	246	
2011	6536	137	
2012	9034	188	
2013	9998	186	
2014	11418	167	
2015	13389	237	
2016	13522	157	
2017	14565	123	
2018	6395	45	
