YEAR	C0023078	C0023081	
1945	14	1	
1946	51	2	
1947	77	3	
1948	79	2	
1949	73	4	
1950	171	19	
1951	202	35	
1952	205	33	
1953	233	29	
1954	216	21	
1955	210	27	
1956	215	17	
1957	219	23	
1958	200	11	
1959	221	23	
1960	189	24	
1961	195	20	
1962	202	33	
1963	182	30	
1964	205	33	
1965	105	19	
1966	60	0	
1967	70	0	
1968	96	0	
1969	103	0	
1970	93	0	
1971	105	0	
1972	116	0	
1973	113	0	
1974	139	0	
1975	280	0	
1976	276	0	
1977	199	0	
1978	209	0	
1979	246	1	
1980	319	8	
1981	249	10	
1982	276	10	
1983	350	6	
1984	358	17	
1985	376	14	
1986	311	6	
1987	376	11	
1988	313	9	
1989	503	3	
1990	566	7	
1991	577	8	
1992	531	4	
1993	518	8	
1994	620	11	
1995	732	13	
1996	734	6	
1997	677	13	
1998	620	11	
1999	615	4	
2000	786	10	
2001	547	6	
2002	553	12	
2003	640	15	
2004	603	10	
2005	648	16	
2006	844	27	
2007	732	18	
2008	798	23	
2009	779	29	
2010	986	29	
2011	759	10	
2012	1009	14	
2013	1010	13	
2014	1294	50	
2015	1179	32	
2016	1863	8	
2017	1481	3	
2018	589	3	
