YEAR	C0017360	C0032356	
1946	0	5	
1947	0	15	
1948	0	13	
1949	0	17	
1950	0	25	
1951	0	22	
1952	0	19	
1953	0	27	
1954	0	26	
1955	0	17	
1956	0	42	
1957	0	44	
1958	0	37	
1959	0	43	
1960	0	29	
1961	0	46	
1962	0	29	
1963	0	41	
1964	0	82	
1965	0	86	
1966	0	89	
1967	0	66	
1968	0	67	
1969	0	74	
1970	0	93	
1971	0	59	
1972	0	68	
1973	0	70	
1974	0	135	
1975	0	85	
1976	0	84	
1977	0	69	
1978	0	92	
1979	0	100	
1980	0	77	
1981	0	80	
1982	0	74	
1983	0	71	
1984	0	83	
1985	0	89	
1986	0	81	
1987	0	95	
1988	0	117	
1989	3	167	
1990	47	161	
1991	128	181	
1992	112	156	
1993	124	320	
1994	92	202	
1995	141	167	
1996	98	244	
1997	83	255	
1998	91	312	
1999	64	356	
2000	44	424	
2001	58	526	
2002	80	635	
2003	74	595	
2004	94	765	
2005	125	755	
2006	88	854	
2007	206	874	
2008	95	944	
2009	120	955	
2010	43	1262	
2011	247	1607	
2012	161	1935	
2013	209	2347	
2014	61	3072	
2015	48	3171	
2016	164	4158	
2017	210	3681	
2018	72	1508	
