YEAR	C0017916	C0917783	
1971	27	0	
1972	96	0	
1973	121	12	
1974	90	0	
1975	376	0	
1976	424	0	
1977	360	0	
1978	334	0	
1979	288	0	
1980	279	0	
1981	227	0	
1982	302	0	
1983	449	0	
1984	264	0	
1985	316	0	
1986	395	0	
1987	334	0	
1988	270	0	
1989	342	0	
1990	262	0	
1991	197	0	
1992	239	0	
1993	235	0	
1994	131	0	
1995	193	0	
1996	172	0	
1997	108	0	
1998	107	0	
1999	135	2	
2000	132	0	
2001	118	6	
2002	6	34	
2003	6	29	
2004	38	14	
2005	143	27	
2006	29	28	
2007	35	45	
2008	32	23	
2009	34	32	
2010	30	14	
2011	33	18	
2012	30	15	
2013	36	16	
2014	149	17	
2015	298	8	
2016	86	10	
2017	128	1	
2018	9	11	
