YEAR	C0032064	C0032066	
1945	7	0	
1946	26	3	
1947	17	0	
1948	27	0	
1949	19	0	
1950	52	0	
1951	94	1	
1952	54	0	
1953	63	4	
1954	46	0	
1955	49	0	
1956	33	0	
1957	37	0	
1958	40	0	
1959	40	0	
1960	81	4	
1961	54	5	
1962	50	3	
1963	86	15	
1964	41	7	
1965	42	9	
1966	41	9	
1967	44	8	
1968	49	11	
1969	51	3	
1970	42	15	
1971	46	4	
1972	34	4	
1973	31	8	
1974	41	14	
1975	49	6	
1976	76	8	
1977	49	12	
1978	49	2	
1979	74	14	
1980	71	9	
1981	43	4	
1982	74	6	
1983	54	1	
1984	42	6	
1985	54	0	
1986	66	0	
1987	55	0	
1988	47	2	
1989	96	0	
1990	80	6	
1991	49	0	
1992	119	7	
1993	99	1	
1994	148	17	
1995	103	9	
1996	89	10	
1997	182	8	
1998	134	5	
1999	192	12	
2000	150	18	
2001	123	17	
2002	227	6	
2003	215	20	
2004	291	24	
2005	240	28	
2006	551	62	
2007	547	82	
2008	1958	62	
2009	931	83	
2010	1069	74	
2011	920	110	
2012	1006	113	
2013	1228	149	
2014	1233	120	
2015	1099	102	
2016	1153	30	
2017	1586	231	
2018	759	29	
