YEAR	C0014772	C0014792	
1945	2	24	
1946	8	103	
1947	3	115	
1948	8	170	
1949	10	149	
1950	5	309	
1951	10	326	
1952	13	346	
1953	6	427	
1954	7	399	
1955	5	420	
1956	2	454	
1957	7	426	
1958	13	591	
1959	20	578	
1960	15	614	
1961	26	699	
1962	15	765	
1963	22	801	
1964	18	990	
1965	25	879	
1966	26	893	
1967	19	1023	
1968	28	1371	
1969	36	1350	
1970	43	1302	
1971	31	1509	
1972	38	1822	
1973	36	1720	
1974	27	1817	
1975	144	5136	
1976	103	5013	
1977	83	4800	
1978	105	4853	
1979	101	5220	
1980	92	5638	
1981	90	6218	
1982	142	6074	
1983	151	6841	
1984	201	5885	
1985	161	5874	
1986	153	5652	
1987	157	5907	
1988	137	5467	
1989	163	6246	
1990	222	6184	
1991	205	5659	
1992	249	5379	
1993	180	5132	
1994	178	5067	
1995	193	4668	
1996	151	4864	
1997	244	5013	
1998	144	4918	
1999	194	4546	
2000	163	4914	
2001	172	4858	
2002	202	4816	
2003	223	4956	
2004	201	5432	
2005	199	5493	
2006	216	5408	
2007	222	6480	
2008	508	8329	
2009	400	7971	
2010	438	9397	
2011	669	12458	
2012	444	14478	
2013	574	15763	
2014	588	17405	
2015	720	20430	
2016	689	20744	
2017	582	18868	
2018	224	6193	
