YEAR	C0037231	C0037506	
1971	0	9	
1972	0	111	
1973	0	116	
1974	0	165	
1975	0	358	
1976	0	312	
1977	0	194	
1978	0	186	
1979	0	250	
1980	0	220	
1981	0	182	
1982	0	174	
1983	0	249	
1984	0	329	
1985	0	283	
1986	0	221	
1987	0	299	
1988	0	353	
1989	0	488	
1990	0	474	
1991	22	381	
1992	13	418	
1993	5	520	
1994	9	468	
1995	9	527	
1996	13	658	
1997	29	613	
1998	19	551	
1999	34	545	
2000	29	516	
2001	21	669	
2002	3	556	
2003	2	697	
2004	7	934	
2005	16	1033	
2006	24	802	
2007	15	1012	
2008	20	1014	
2009	19	915	
2010	77	1055	
2011	9	1347	
2012	89	1882	
2013	1	1404	
2014	34	1704	
2015	6	1251	
2016	5	1191	
2017	3	997	
2018	6	607	
