YEAR	C0011485	C0012764	
1966	0	6	
1967	0	9	
1968	0	8	
1969	0	7	
1970	0	11	
1971	0	19	
1972	0	17	
1973	9	16	
1974	18	17	
1975	67	15	
1976	38	8	
1977	70	18	
1978	69	25	
1979	49	27	
1980	33	23	
1981	52	20	
1982	83	12	
1983	97	38	
1984	90	8	
1985	97	22	
1986	108	10	
1987	105	14	
1988	69	15	
1989	107	36	
1990	54	28	
1991	64	42	
1992	78	50	
1993	101	43	
1994	83	49	
1995	75	41	
1996	89	35	
1997	148	38	
1998	86	33	
1999	142	40	
2000	57	54	
2001	94	52	
2002	101	141	
2003	118	61	
2004	107	42	
2005	93	54	
2006	182	126	
2007	159	183	
2008	154	56	
2009	135	115	
2010	192	105	
2011	112	150	
2012	184	89	
2013	322	133	
2014	329	204	
2015	413	310	
2016	216	275	
2017	171	330	
2018	60	77	
