YEAR	C0042615	C0206212	
1945	25	0	
1946	29	0	
1947	38	0	
1948	11	0	
1949	19	0	
1950	51	0	
1951	59	0	
1952	20	0	
1953	16	0	
1954	12	0	
1955	19	0	
1956	23	0	
1957	20	0	
1958	22	0	
1959	20	0	
1960	17	0	
1961	16	0	
1962	19	0	
1963	18	1	
1964	32	0	
1965	96	1	
1966	115	0	
1967	139	0	
1968	95	0	
1969	111	0	
1970	108	0	
1971	85	0	
1972	99	0	
1973	76	0	
1974	67	0	
1975	94	0	
1976	108	0	
1977	108	0	
1978	125	0	
1979	133	0	
1980	103	0	
1981	89	0	
1982	92	0	
1983	117	0	
1984	79	0	
1985	105	0	
1986	108	0	
1987	123	0	
1988	101	0	
1989	163	0	
1990	136	0	
1991	257	0	
1992	174	0	
1993	159	7	
1994	213	8	
1995	201	3	
1996	209	15	
1997	144	15	
1998	207	16	
1999	232	17	
2000	222	10	
2001	285	14	
2002	303	21	
2003	408	29	
2004	563	42	
2005	323	82	
2006	656	59	
2007	539	75	
2008	537	23	
2009	701	30	
2010	733	46	
2011	845	48	
2012	841	165	
2013	995	62	
2014	1008	185	
2015	1271	85	
2016	1033	56	
2017	979	55	
2018	414	21	
