YEAR	C0002736	C0003372	
1948	5	0	
1949	5	0	
1950	14	0	
1951	12	0	
1952	12	0	
1953	13	0	
1954	13	0	
1955	23	0	
1956	18	0	
1957	23	0	
1958	10	0	
1959	24	0	
1960	13	0	
1961	12	0	
1962	12	0	
1963	19	0	
1964	14	0	
1965	18	0	
1966	23	0	
1967	33	0	
1968	28	58	
1969	29	165	
1970	42	196	
1971	37	162	
1972	36	114	
1973	34	119	
1974	42	59	
1975	92	180	
1976	116	259	
1977	119	175	
1978	128	117	
1979	154	151	
1980	132	98	
1981	144	78	
1982	187	66	
1983	191	114	
1984	209	93	
1985	160	78	
1986	259	98	
1987	386	103	
1988	263	134	
1989	405	165	
1990	391	101	
1991	540	142	
1992	471	164	
1993	795	140	
1994	737	81	
1995	997	107	
1996	1084	89	
1997	1031	61	
1998	1082	65	
1999	1355	50	
2000	1278	42	
2001	1329	25	
2002	1239	41	
2003	1525	59	
2004	1561	49	
2005	1720	40	
2006	2514	50	
2007	2894	18	
2008	3297	31	
2009	4097	21	
2010	5198	6	
2011	7648	65	
2012	8976	18	
2013	10945	36	
2014	11552	10	
2015	12334	16	
2016	15092	13	
2017	16054	3	
2018	4064	7	
