YEAR	C0030163	C0037189	
1954	2	4	
1955	7	3	
1956	4	3	
1957	6	3	
1958	11	2	
1959	10	4	
1960	16	6	
1961	12	4	
1962	33	10	
1963	65	14	
1964	121	15	
1965	92	11	
1966	96	10	
1967	155	12	
1968	147	12	
1969	169	13	
1970	155	15	
1971	200	17	
1972	154	21	
1973	189	28	
1974	221	43	
1975	415	186	
1976	522	220	
1977	399	207	
1978	534	179	
1979	341	199	
1980	389	188	
1981	317	180	
1982	367	252	
1983	439	319	
1984	518	299	
1985	464	222	
1986	490	319	
1987	342	211	
1988	566	226	
1989	564	265	
1990	543	228	
1991	532	199	
1992	579	176	
1993	497	228	
1994	489	191	
1995	486	254	
1996	591	216	
1997	574	168	
1998	668	231	
1999	676	150	
2000	675	176	
2001	658	157	
2002	709	167	
2003	610	188	
2004	691	163	
2005	920	127	
2006	704	143	
2007	680	248	
2008	765	122	
2009	876	173	
2010	911	222	
2011	1046	199	
2012	986	247	
2013	1158	364	
2014	1009	327	
2015	1492	210	
2016	1230	188	
2017	1226	338	
2018	401	65	
