YEAR	C0001613	C0007776	C0022655	
1945	7	12	0	
1946	39	49	0	
1947	63	54	1	
1948	44	36	2	
1949	62	47	1	
1950	144	76	1	
1951	253	154	2	
1952	278	172	2	
1953	288	197	4	
1954	247	214	0	
1955	206	240	6	
1956	191	212	4	
1957	197	217	5	
1958	206	215	9	
1959	181	237	10	
1960	171	245	9	
1961	192	267	18	
1962	210	304	12	
1963	229	363	16	
1964	194	406	18	
1965	52	394	9	
1966	0	445	0	
1967	3	630	0	
1968	4	513	0	
1969	0	557	0	
1970	0	485	0	
1971	3	464	6	
1972	2	482	41	
1973	11	428	94	
1974	89	403	125	
1975	260	1314	355	
1976	299	1369	361	
1977	244	1210	333	
1978	233	1250	321	
1979	227	1547	286	
1980	275	1633	281	
1981	196	1838	369	
1982	180	2192	411	
1983	204	2372	449	
1984	255	2764	450	
1985	291	3081	448	
1986	270	3126	532	
1987	257	3171	392	
1988	203	3262	415	
1989	283	3509	417	
1990	248	3912	480	
1991	226	4490	413	
1992	197	4389	453	
1993	193	4550	386	
1994	189	4784	495	
1995	218	4518	423	
1996	142	4818	404	
1997	229	5287	380	
1998	237	4858	396	
1999	144	5078	354	
2000	171	5023	292	
2001	142	4847	387	
2002	167	5290	366	
2003	141	5620	323	
2004	154	6426	362	
2005	149	6402	292	
2006	113	6977	348	
2007	67	8319	192	
2008	131	9399	278	
2009	91	11647	281	
2010	159	12341	212	
2011	117	13948	233	
2012	152	16622	332	
2013	174	19738	528	
2014	235	22927	521	
2015	232	24410	278	
2016	123	27991	488	
2017	72	23013	452	
2018	53	4230	150	
