YEAR	C0015259	C0452240	
1945	7	4	
1946	47	17	
1947	35	15	
1948	48	7	
1949	51	14	
1950	73	36	
1951	96	68	
1952	101	50	
1953	96	69	
1954	126	87	
1955	107	96	
1956	136	86	
1957	112	32	
1958	109	30	
1959	116	22	
1960	87	22	
1961	105	18	
1962	116	22	
1963	141	19	
1964	141	25	
1965	65	36	
1966	11	40	
1967	7	42	
1968	1	27	
1969	1	23	
1970	3	22	
1971	0	26	
1972	0	36	
1973	0	26	
1974	0	26	
1975	0	38	
1976	17	45	
1977	0	44	
1978	0	41	
1979	9	51	
1980	1	52	
1981	0	45	
1982	0	43	
1983	2	77	
1984	1	67	
1985	24	67	
1986	54	66	
1987	34	96	
1988	1475	64	
1989	3954	71	
1990	4612	102	
1991	5675	93	
1992	5608	78	
1993	4801	158	
1994	5060	168	
1995	5553	176	
1996	6333	140	
1997	7049	153	
1998	6989	214	
1999	7921	208	
2000	8311	293	
2001	9212	274	
2002	9309	274	
2003	9837	338	
2004	11446	436	
2005	11151	585	
2006	13873	667	
2007	16642	742	
2008	18660	869	
2009	20577	1233	
2010	22783	1358	
2011	28894	1438	
2012	32650	1825	
2013	38540	1853	
2014	48574	2731	
2015	57681	3405	
2016	77483	3635	
2017	91625	3895	
2018	29044	1604	
