YEAR	C0006147	C0022925	
1945	15	6	
1946	75	23	
1947	86	40	
1948	98	42	
1949	49	23	
1950	180	63	
1951	160	50	
1952	149	47	
1953	109	43	
1954	122	64	
1955	110	69	
1956	99	57	
1957	96	62	
1958	104	65	
1959	105	65	
1960	126	60	
1961	120	64	
1962	107	55	
1963	119	70	
1964	132	61	
1965	74	82	
1966	25	73	
1967	40	83	
1968	54	125	
1969	46	121	
1970	40	91	
1971	44	86	
1972	70	92	
1973	29	116	
1974	58	117	
1975	231	446	
1976	247	434	
1977	201	317	
1978	303	359	
1979	418	448	
1980	373	454	
1981	376	526	
1982	502	604	
1983	581	738	
1984	663	694	
1985	665	782	
1986	679	854	
1987	600	862	
1988	692	720	
1989	1022	819	
1990	1076	838	
1991	964	1024	
1992	1240	828	
1993	1268	818	
1994	1358	907	
1995	1395	906	
1996	1327	831	
1997	1670	1137	
1998	1584	1059	
1999	1758	1212	
2000	2167	1108	
2001	2290	1290	
2002	2269	1170	
2003	2909	1354	
2004	2770	1283	
2005	2944	1385	
2006	3319	1401	
2007	4102	1799	
2008	4305	1588	
2009	4397	2062	
2010	5144	1934	
2011	6085	2909	
2012	7990	3352	
2013	10158	3345	
2014	11200	3929	
2015	13611	3727	
2016	13866	4806	
2017	11541	3745	
2018	4962	1879	
