YEAR	C0023281	C1548483	
1945	8	0	
1946	19	0	
1947	19	1	
1948	12	0	
1949	11	0	
1950	42	0	
1951	52	0	
1952	39	0	
1953	46	0	
1954	38	0	
1955	37	0	
1956	54	0	
1957	36	0	
1958	32	0	
1959	30	0	
1960	39	0	
1961	41	0	
1962	31	0	
1963	48	0	
1964	52	0	
1965	32	0	
1966	28	0	
1967	34	0	
1968	34	0	
1969	29	0	
1970	27	0	
1971	62	0	
1972	39	0	
1973	33	0	
1974	28	0	
1975	76	0	
1976	83	0	
1977	59	0	
1978	95	0	
1979	89	0	
1980	106	0	
1981	114	0	
1982	118	0	
1983	175	0	
1984	160	0	
1985	188	0	
1986	174	0	
1987	241	0	
1988	178	0	
1989	225	0	
1990	230	0	
1991	144	0	
1992	67	0	
1993	81	0	
1994	85	0	
1995	81	0	
1996	77	0	
1997	65	0	
1998	115	0	
1999	115	0	
2000	95	8	
2001	124	0	
2002	130	1	
2003	186	6	
2004	164	0	
2005	224	0	
2006	258	2	
2007	257	5	
2008	476	74	
2009	463	80	
2010	480	68	
2011	502	137	
2012	818	167	
2013	949	118	
2014	1065	192	
2015	1069	105	
2016	1069	197	
2017	1171	162	
2018	617	83	
