YEAR	C0016538	C0033363	
1970	1	3	
1971	5	2	
1972	4	7	
1973	4	2	
1974	7	4	
1975	12	18	
1976	19	9	
1977	2	9	
1978	18	20	
1979	64	1	
1980	118	6	
1981	164	12	
1982	54	2	
1983	159	8	
1984	62	4	
1985	179	8	
1986	217	14	
1987	142	3	
1988	125	3	
1989	111	13	
1990	156	6	
1991	250	8	
1992	286	3	
1993	131	5	
1994	132	7	
1995	221	21	
1996	98	10	
1997	175	19	
1998	137	11	
1999	235	8	
2000	201	7	
2001	210	3	
2002	315	4	
2003	307	10	
2004	391	19	
2005	369	15	
2006	428	11	
2007	703	7	
2008	716	7	
2009	497	17	
2010	915	8	
2011	937	11	
2012	1049	21	
2013	2224	11	
2014	3000	8	
2015	2816	17	
2016	3779	5	
2017	4926	65	
2018	1898	7	
