WSD_INFORMATION	NUM_SENSES	SENSE	FIRST_YEAR_OCCURENCE	VALUE_FIRST_YEAR_OCCURENCE	MaxSenseGivenYear	MaxSenseGivenYearValue
PCP	2	C0030855	1972	9	2006	0.608355	
PCP	2	C0031381	1972	6	1989	0.914810	
CCl4	2	C0007022	1946	22	1946	1.000000	
CCl4	2	C0209338	1991	1	2015	0.413351	
Cold	3	C0009264	1945	9	1978	0.981358	
Cold	3	C0009443	1945	2	1947	0.423729	
Cold	3	C0024117	1959	1	2018	0.800074	
PCB	2	C0032447	1971	34	2012	0.994817	
PCB	2	C0033223	1971	6	1988	0.286445	
Yellow Fever	2	C0043395	1945	4	1948	1.000000	
Yellow Fever	2	C0301508	1945	1	2005	0.550505	
CCD	2	C0008928	1965	15	1966	1.000000	
CCD	2	C0751951	1965	1	2003	0.720930	
BSA	2	C0005902	1952	4	1952	0.400000	
BSA	2	C0036774	1952	6	1953	1.000000	
GAG	2	C0017346	1982	2	2007	0.373802	
GAG	2	C0017973	1949	5	1949	1.000000	
Pharmaceutical	2	C0013058	1963	1	2005	0.868132	
Pharmaceutical	2	C0031336	1945	11	1945	1.000000	
ERUPTION	2	C0015230	1945	3	1959	0.902439	
ERUPTION	2	C1533692	1945	2	1985	0.901786	
CAM	2	C0007578	1981	8	1981	1.000000	
CAM	2	C0178551	2003	8	2017	0.604736	
Exercises	2	C0015259	1945	7	1992	0.986282	
Exercises	2	C0452240	1945	4	1971	1.000000	
Language	2	C0023008	1946	7	1946	1.000000	
Language	2	C0033348	1958	1	2001	0.158235	
EMS	2	C0013961	1967	9	1967	1.000000	
EMS	2	C0015063	1975	45	1980	0.512048	
TNC	2	C0076088	1985	6	2018	0.950178	
TNC	2	C0077400	1980	39	1980	1.000000	
SCD	2	C0002895	1946	12	1946	1.000000	
SCD	2	C0085298	1950	1	2012	0.383784	
Synapsis	2	C0039062	1950	13	1950	1.000000	
Synapsis	2	C0598501	1951	1	1958	0.128205	
EM	2	C0014921	1975	16	2005	0.103394	
EM	2	C0026019	1946	11	1946	1.000000	
Sodium	2	C0037473	1945	26	1966	1.000000	
Sodium	2	C0037570	1945	2	1960	0.312160	
TNT	2	C0041070	1982	27	1982	0.540000	
TNT	2	C0077404	1981	9	1981	1.000000	
BR	2	C0006137	1946	9	2018	0.981101	
BR	2	C0006222	1946	16	1967	0.647727	
Plague	2	C0032064	1945	7	1945	1.000000	
Plague	2	C0032066	1946	3	1970	0.263158	
Cilia	2	C0008778	1950	4	1953	1.000000	
Cilia	2	C0015422	1950	3	1950	0.428571	
DI	2	C0011848	1946	8	1947	1.000000	
DI	2	C0032246	1946	1	2012	0.873995	
Radiation	2	C0851346	1945	13	1945	1.000000	
Radiation	2	C1522449	1946	20	1998	0.979727	
CP	3	C0007789	1946	28	2018	0.857840	
CP	3	C0008925	1946	17	1970	0.622222	
CP	3	C0033477	1946	1	1977	0.599269	
CIS	2	C0007099	1972	17	1972	1.000000	
CIS	2	C0162854	1992	6	2012	0.114370	
PHA	2	C0030779	1976	2	1976	0.500000	
PHA	2	C0031858	1975	4	1975	1.000000	
IP	2	C0021069	1989	2	2012	0.991823	
IP	2	C0021171	1986	10	1986	1.000000	
Familial Adenomatous Polyposis	2	C0032580	1986	37	1986	1.000000	
Familial Adenomatous Polyposis	2	C0162832	1991	4	2011	0.524844	
Leishmaniasis	2	C0023281	1945	8	1945	1.000000	
Leishmaniasis	2	C1548483	1947	1	2011	0.214397	
CDR	2	C0011485	1973	9	1973	1.000000	
CDR	2	C0021024	1998	18	2011	0.782524	
Platelet	2	C0005821	1945	2	1966	1.000000	
Platelet	2	C0032181	1945	3	1945	0.600000	
Crack	2	C0040441	1986	12	1986	1.000000	
Crack	2	C0085163	1990	1	1997	0.970760	
RA	3	C0002893	1946	2	1960	0.031532	
RA	3	C0003873	1945	9	2011	0.993805	
RA	3	C0034625	1945	9	1945	0.500000	
Nurse	2	C0006147	1945	18	1960	0.780220	
Nurse	2	C0028661	1945	17	1966	0.844720	
Lactation	2	C0006147	1945	15	2015	0.785039	
Lactation	2	C0022925	1945	6	1973	0.800000	
IA	2	C0021487	1946	1	1962	0.760000	
IA	2	C0022037	1946	12	1946	0.923077	
Haemophilus ducreyi	2	C0007947	1977	5	1977	1.000000	
Haemophilus ducreyi	2	C0018481	1978	10	2004	0.714286	
rDNA	2	C0012931	1976	12	1976	1.000000	
rDNA	2	C0012933	1981	29	2017	0.991750	
Strep	2	C0038395	1945	2	1958	0.333333	
Strep	2	C0038402	1945	17	1973	0.931889	
CDA	2	C0002876	1979	11	1979	1.000000	
CDA	2	C0092801	1983	10	2018	0.979452	
HIV	2	C0019682	1985	21	1985	1.000000	
HIV	2	C0019693	1987	4	2018	0.955351	
OH	2	C0028905	1946	10	1949	1.000000	
OH	2	C0063146	1946	2	1995	0.913462	
lymphogranulomatosis	2	C0019829	1945	8	1973	0.734435	
lymphogranulomatosis	2	C0036202	1945	16	1946	0.710526	
TEM	2	C0040975	2004	5	2004	0.009653	
TEM	2	C0678118	2002	8	2002	1.000000	
OCD	2	C0028768	1975	9	1975	1.000000	
OCD	2	C0029421	1984	17	1985	0.431193	
PCA	5	C0030131	1974	1	1986	0.628743	
PCA	5	C0030625	1957	8	1966	1.000000	
PCA	5	C0078944	1989	12	1998	0.838912	
PCA	5	C0149576	1957	1	1959	0.428571	
PCA	5	C0429865	1960	1	2013	0.905514	
