YEAR	C0001972	C0002520	
1945	0.000000	1.000000	
1946	0.000000	1.000000	
1947	0.004348	0.995652	
1948	0.010363	0.989637	
1949	0.010526	0.989474	
1950	0.004132	0.995868	
1951	0.003861	0.996139	
1952	0.003106	0.996894	
1953	0.008772	0.991228	
1954	0.004963	0.995037	
1955	0.017766	0.982234	
1956	0.005263	0.994737	
1957	0.002410	0.997590	
1958	0.002262	0.997738	
1959	0.006834	0.993166	
1960	0.002075	0.997925	
1961	0.001812	0.998188	
1962	0.003279	0.996721	
1963	0.000000	1.000000	
1964	0.001244	0.998756	
1965	0.002817	0.997183	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000719	0.999281	
1974	0.003729	0.996271	
1975	0.001254	0.998746	
1976	0.003188	0.996812	
1977	0.003187	0.996813	
1978	0.004289	0.995711	
1979	0.007594	0.992406	
1980	0.005713	0.994287	
1981	0.006813	0.993187	
1982	0.002055	0.997945	
1983	0.001539	0.998461	
1984	0.004133	0.995867	
1985	0.002802	0.997198	
1986	0.007373	0.992627	
1987	0.006568	0.993432	
1988	0.006277	0.993723	
1989	0.013508	0.986492	
1990	0.007951	0.992049	
1991	0.008679	0.991321	
1992	0.003272	0.996728	
1993	0.015370	0.984630	
1994	0.017327	0.982673	
1995	0.011488	0.988512	
1996	0.019689	0.980311	
1997	0.015082	0.984918	
1998	0.020866	0.979134	
1999	0.019546	0.980454	
2000	0.011911	0.988089	
2001	0.005131	0.994869	
2002	0.012807	0.987193	
2003	0.011049	0.988951	
2004	0.013060	0.986940	
2005	0.015039	0.984961	
2006	0.013348	0.986652	
2007	0.008617	0.991383	
2008	0.017433	0.982567	
2009	0.018095	0.981905	
2010	0.005743	0.994257	
2011	0.014513	0.985487	
2012	0.006155	0.993845	
2013	0.007856	0.992144	
2014	0.003590	0.996410	
2015	0.002492	0.997508	
2016	0.001162	0.998838	
2017	0.002472	0.997528	
2018	0.002835	0.997165	
