YEAR	C0001942	C0003779	
1975	0.000000	1.000000	
1976	0.078652	0.921348	
1977	0.053191	0.946809	
1978	0.070866	0.929134	
1979	0.000000	1.000000	
1980	0.039370	0.960630	
1981	0.388889	0.611111	
1982	0.487745	0.512255	
1983	0.592847	0.407153	
1984	0.522699	0.477301	
1985	0.497543	0.502457	
1986	0.454545	0.545455	
1987	0.642261	0.357739	
1988	0.521875	0.478125	
1989	0.563710	0.436290	
1990	0.566572	0.433428	
1991	0.613806	0.386194	
1992	0.584781	0.415219	
1993	0.586607	0.413393	
1994	0.657407	0.342593	
1995	0.569551	0.430449	
1996	0.680460	0.319540	
1997	0.667964	0.332036	
1998	0.579355	0.420645	
1999	0.660537	0.339463	
2000	0.671795	0.328205	
2001	0.678914	0.321086	
2002	0.650621	0.349379	
2003	0.699405	0.300595	
2004	0.689013	0.310987	
2005	0.743590	0.256410	
2006	0.645866	0.354134	
2007	0.745649	0.254351	
2008	0.687248	0.312752	
2009	0.712660	0.287340	
2010	0.787234	0.212766	
2011	0.746512	0.253488	
2012	0.813348	0.186652	
2013	0.780220	0.219780	
2014	0.852641	0.147359	
2015	0.842105	0.157895	
2016	0.882721	0.117279	
2017	0.803371	0.196629	
2018	0.922601	0.077399	
