YEAR	C0007789	C0008925	C0033477	
1946	0.608696	0.369565	0.021739	
1947	0.611111	0.388889	0.000000	
1948	0.613636	0.386364	0.000000	
1949	0.746269	0.253731	0.000000	
1950	0.485294	0.514706	0.000000	
1951	0.552083	0.447917	0.000000	
1952	0.635294	0.352941	0.011765	
1953	0.675926	0.314815	0.009259	
1954	0.607143	0.392857	0.000000	
1955	0.680000	0.320000	0.000000	
1956	0.600000	0.390909	0.009091	
1957	0.540230	0.448276	0.011494	
1958	0.672000	0.328000	0.000000	
1959	0.633663	0.366337	0.000000	
1960	0.514085	0.478873	0.007042	
1961	0.672414	0.301724	0.025862	
1962	0.608696	0.365217	0.026087	
1963	0.654930	0.295775	0.049296	
1964	0.605634	0.359155	0.035211	
1965	0.577640	0.409938	0.012422	
1966	0.588542	0.411458	0.000000	
1967	0.591398	0.408602	0.000000	
1968	0.481481	0.518519	0.000000	
1969	0.400000	0.600000	0.000000	
1970	0.377778	0.622222	0.000000	
1971	0.403846	0.591346	0.004808	
1972	0.466346	0.432692	0.100962	
1973	0.395210	0.532934	0.071856	
1974	0.356098	0.429268	0.214634	
1975	0.293680	0.373606	0.332714	
1976	0.323873	0.228715	0.447412	
1977	0.191230	0.209501	0.599269	
1978	0.314754	0.239344	0.445902	
1979	0.268634	0.307453	0.423913	
1980	0.288851	0.270270	0.440878	
1981	0.278351	0.260677	0.460972	
1982	0.296236	0.296236	0.407529	
1983	0.298217	0.314425	0.387358	
1984	0.363344	0.340836	0.295820	
1985	0.369099	0.334764	0.296137	
1986	0.359806	0.345219	0.294976	
1987	0.420690	0.298276	0.281034	
1988	0.425987	0.435855	0.138158	
1989	0.442935	0.368207	0.188859	
1990	0.549538	0.330251	0.120211	
1991	0.485757	0.400300	0.113943	
1992	0.473958	0.386719	0.139323	
1993	0.580460	0.352874	0.066667	
1994	0.495122	0.375610	0.129268	
1995	0.592269	0.261845	0.145885	
1996	0.558628	0.355088	0.086283	
1997	0.598028	0.318729	0.083242	
1998	0.648232	0.290118	0.061650	
1999	0.558671	0.377985	0.063344	
2000	0.638428	0.307424	0.054148	
2001	0.646465	0.285159	0.068376	
2002	0.679059	0.284522	0.036419	
2003	0.632175	0.324018	0.043807	
2004	0.675837	0.287081	0.037081	
2005	0.698395	0.255119	0.046486	
2006	0.738364	0.226390	0.035246	
2007	0.776021	0.189040	0.034939	
2008	0.762116	0.199408	0.038476	
2009	0.747670	0.216329	0.036001	
2010	0.794712	0.178125	0.027163	
2011	0.745320	0.225679	0.029001	
2012	0.744002	0.215104	0.040894	
2013	0.780070	0.184196	0.035734	
2014	0.794263	0.181663	0.024074	
2015	0.759934	0.212176	0.027890	
2016	0.765536	0.202701	0.031763	
2017	0.813833	0.157983	0.028184	
2018	0.857840	0.112557	0.029603	
