YEAR	C0030163	C0037189	
1954	0.333333	0.666667	
1955	0.700000	0.300000	
1956	0.571429	0.428571	
1957	0.666667	0.333333	
1958	0.846154	0.153846	
1959	0.714286	0.285714	
1960	0.727273	0.272727	
1961	0.750000	0.250000	
1962	0.767442	0.232558	
1963	0.822785	0.177215	
1964	0.889706	0.110294	
1965	0.893204	0.106796	
1966	0.905660	0.094340	
1967	0.928144	0.071856	
1968	0.924528	0.075472	
1969	0.928571	0.071429	
1970	0.911765	0.088235	
1971	0.921659	0.078341	
1972	0.880000	0.120000	
1973	0.870968	0.129032	
1974	0.837121	0.162879	
1975	0.690516	0.309484	
1976	0.703504	0.296496	
1977	0.658416	0.341584	
1978	0.748948	0.251052	
1979	0.631481	0.368519	
1980	0.674177	0.325823	
1981	0.637827	0.362173	
1982	0.592892	0.407108	
1983	0.579156	0.420844	
1984	0.634027	0.365973	
1985	0.676385	0.323615	
1986	0.605686	0.394314	
1987	0.618445	0.381555	
1988	0.714646	0.285354	
1989	0.680338	0.319662	
1990	0.704280	0.295720	
1991	0.727770	0.272230	
1992	0.766887	0.233113	
1993	0.685517	0.314483	
1994	0.719118	0.280882	
1995	0.656757	0.343243	
1996	0.732342	0.267658	
1997	0.773585	0.226415	
1998	0.743048	0.256952	
1999	0.818402	0.181598	
2000	0.793184	0.206816	
2001	0.807362	0.192638	
2002	0.809361	0.190639	
2003	0.764411	0.235589	
2004	0.809133	0.190867	
2005	0.878701	0.121299	
2006	0.831169	0.168831	
2007	0.732759	0.267241	
2008	0.862458	0.137542	
2009	0.835081	0.164919	
2010	0.804060	0.195940	
2011	0.840161	0.159839	
2012	0.799676	0.200324	
2013	0.760841	0.239159	
2014	0.755240	0.244760	
2015	0.876616	0.123384	
2016	0.867419	0.132581	
2017	0.783887	0.216113	
2018	0.860515	0.139485	
