YEAR	C0001614	C0007776	
1945	0.000000	1.000000	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.000000	1.000000	
1949	0.000000	1.000000	
1950	0.012987	0.987013	
1951	0.043478	0.956522	
1952	0.099476	0.900524	
1953	0.075117	0.924883	
1954	0.065502	0.934498	
1955	0.066148	0.933852	
1956	0.061947	0.938053	
1957	0.031250	0.968750	
1958	0.088983	0.911017	
1959	0.040486	0.959514	
1960	0.046693	0.953307	
1961	0.049822	0.950178	
1962	0.047022	0.952978	
1963	0.016260	0.983740	
1964	0.002457	0.997543	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.002151	0.997849	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.002475	0.997525	
1975	0.005299	0.994701	
1976	0.005810	0.994190	
1977	0.004934	0.995066	
1978	0.008723	0.991277	
1979	0.005145	0.994855	
1980	0.005481	0.994519	
1981	0.004873	0.995127	
1982	0.003183	0.996817	
1983	0.000421	0.999579	
1984	0.002526	0.997474	
1985	0.000324	0.999676	
1986	0.002871	0.997129	
1987	0.002830	0.997170	
1988	0.002141	0.997859	
1989	0.000570	0.999430	
1990	0.001786	0.998214	
1991	0.001335	0.998665	
1992	0.002046	0.997954	
1993	0.000878	0.999122	
1994	0.000627	0.999373	
1995	0.001547	0.998453	
1996	0.000830	0.999170	
1997	0.001888	0.998112	
1998	0.000823	0.999177	
1999	0.000984	0.999016	
2000	0.000398	0.999602	
2001	0.000825	0.999175	
2002	0.000567	0.999433	
2003	0.000889	0.999111	
2004	0.000000	1.000000	
2005	0.000312	0.999688	
2006	0.000143	0.999857	
2007	0.000481	0.999519	
2008	0.000532	0.999468	
2009	0.000343	0.999657	
2010	0.000567	0.999433	
2011	0.000430	0.999570	
2012	0.000180	0.999820	
2013	0.000051	0.999949	
2014	0.000392	0.999608	
2015	0.000000	1.000000	
2016	0.000000	1.000000	
2017	0.000087	0.999913	
2018	0.000000	1.000000	
