YEAR	C0014921	C0026019	
1946	0.000000	1.000000	
1947	0.000000	1.000000	
1948	0.000000	1.000000	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.000000	1.000000	
1964	0.000000	1.000000	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.013559	0.986441	
1976	0.022512	0.977488	
1977	0.036815	0.963185	
1978	0.026126	0.973874	
1979	0.026336	0.973664	
1980	0.019953	0.980047	
1981	0.037804	0.962196	
1982	0.017241	0.982759	
1983	0.021286	0.978714	
1984	0.028783	0.971217	
1985	0.023219	0.976781	
1986	0.019185	0.980815	
1987	0.025183	0.974817	
1988	0.037421	0.962579	
1989	0.019488	0.980512	
1990	0.025268	0.974732	
1991	0.049420	0.950580	
1992	0.034234	0.965766	
1993	0.024014	0.975986	
1994	0.050323	0.949677	
1995	0.040639	0.959361	
1996	0.052277	0.947723	
1997	0.042591	0.957409	
1998	0.042054	0.957946	
1999	0.061255	0.938745	
2000	0.027843	0.972157	
2001	0.048948	0.951052	
2002	0.033180	0.966820	
2003	0.032444	0.967556	
2004	0.065359	0.934641	
2005	0.103394	0.896606	
2006	0.061090	0.938910	
2007	0.103050	0.896950	
2008	0.039315	0.960685	
2009	0.027571	0.972429	
2010	0.030544	0.969456	
2011	0.018278	0.981722	
2012	0.020361	0.979639	
2013	0.011111	0.988889	
2014	0.016363	0.983637	
2015	0.005326	0.994674	
2016	0.029833	0.970167	
2017	0.008436	0.991564	
2018	0.004815	0.995185	
