YEAR	C0015259	C0452240	
1945	0.636364	0.363636	
1946	0.734375	0.265625	
1947	0.700000	0.300000	
1948	0.872727	0.127273	
1949	0.784615	0.215385	
1950	0.669725	0.330275	
1951	0.585366	0.414634	
1952	0.668874	0.331126	
1953	0.581818	0.418182	
1954	0.591549	0.408451	
1955	0.527094	0.472906	
1956	0.612613	0.387387	
1957	0.777778	0.222222	
1958	0.784173	0.215827	
1959	0.840580	0.159420	
1960	0.798165	0.201835	
1961	0.853659	0.146341	
1962	0.840580	0.159420	
1963	0.881250	0.118750	
1964	0.849398	0.150602	
1965	0.643564	0.356436	
1966	0.215686	0.784314	
1967	0.142857	0.857143	
1968	0.035714	0.964286	
1969	0.041667	0.958333	
1970	0.120000	0.880000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.000000	1.000000	
1976	0.274194	0.725806	
1977	0.000000	1.000000	
1978	0.000000	1.000000	
1979	0.150000	0.850000	
1980	0.018868	0.981132	
1981	0.000000	1.000000	
1982	0.000000	1.000000	
1983	0.025316	0.974684	
1984	0.014706	0.985294	
1985	0.263736	0.736264	
1986	0.450000	0.550000	
1987	0.261538	0.738462	
1988	0.958415	0.041585	
1989	0.982360	0.017640	
1990	0.978362	0.021638	
1991	0.983877	0.016123	
1992	0.986282	0.013718	
1993	0.968139	0.031861	
1994	0.967865	0.032135	
1995	0.969279	0.030721	
1996	0.978372	0.021628	
1997	0.978756	0.021244	
1998	0.970290	0.029710	
1999	0.974413	0.025587	
2000	0.965946	0.034054	
2001	0.971115	0.028885	
2002	0.971408	0.028592	
2003	0.966781	0.033219	
2004	0.963306	0.036694	
2005	0.950153	0.049847	
2006	0.954127	0.045873	
2007	0.957317	0.042683	
2008	0.955502	0.044498	
2009	0.943466	0.056534	
2010	0.943747	0.056253	
2011	0.952591	0.047409	
2012	0.947063	0.052937	
2013	0.954126	0.045874	
2014	0.946769	0.053231	
2015	0.944259	0.055741	
2016	0.955189	0.044811	
2017	0.959223	0.040777	
2018	0.947664	0.052336	
