YEAR	C0015625	C0016410	
1945	0.000000	1.000000	
1946	0.008065	0.991935	
1947	0.018519	0.981481	
1948	0.000000	1.000000	
1949	0.028571	0.971429	
1950	0.000000	1.000000	
1951	0.031250	0.968750	
1952	0.048387	0.951613	
1953	0.064815	0.935185	
1954	0.025974	0.974026	
1955	0.045977	0.954023	
1956	0.000000	1.000000	
1957	0.015873	0.984127	
1958	0.075000	0.925000	
1959	0.064516	0.935484	
1960	0.041096	0.958904	
1961	0.049505	0.950495	
1962	0.064815	0.935185	
1963	0.030928	0.969072	
1964	0.045455	0.954545	
1965	0.078261	0.921739	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.019608	0.980392	
1975	0.158249	0.841751	
1976	0.090909	0.909091	
1977	0.179577	0.820423	
1978	0.137441	0.862559	
1979	0.283333	0.716667	
1980	0.280335	0.719665	
1981	0.306569	0.693431	
1982	0.433735	0.566265	
1983	0.309783	0.690217	
1984	0.236593	0.763407	
1985	0.449339	0.550661	
1986	0.242038	0.757962	
1987	0.428070	0.571930	
1988	0.290598	0.709402	
1989	0.248555	0.751445	
1990	0.417355	0.582645	
1991	0.398089	0.601911	
1992	0.344340	0.655660	
1993	0.429104	0.570896	
1994	0.371490	0.628510	
1995	0.326892	0.673108	
1996	0.433775	0.566225	
1997	0.463508	0.536492	
1998	0.371958	0.628042	
1999	0.254726	0.745274	
2000	0.321872	0.678128	
2001	0.329929	0.670071	
2002	0.280755	0.719245	
2003	0.282895	0.717105	
2004	0.288221	0.711779	
2005	0.230083	0.769917	
2006	0.261161	0.738839	
2007	0.266606	0.733394	
2008	0.261035	0.738965	
2009	0.259579	0.740421	
2010	0.297961	0.702039	
2011	0.191670	0.808330	
2012	0.213033	0.786967	
2013	0.215667	0.784333	
2014	0.201590	0.798410	
2015	0.228341	0.771659	
2016	0.165909	0.834091	
2017	0.141697	0.858303	
2018	0.055492	0.944508	
