YEAR	C0017346	C0017973	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.000000	1.000000	
1964	0.000000	1.000000	
1965	0.000000	1.000000	
1966	0.000000	1.000000	
1967	0.000000	1.000000	
1968	0.000000	1.000000	
1969	0.000000	1.000000	
1970	0.000000	1.000000	
1971	0.000000	1.000000	
1972	0.000000	1.000000	
1973	0.000000	1.000000	
1974	0.000000	1.000000	
1975	0.000000	1.000000	
1976	0.000000	1.000000	
1977	0.000000	1.000000	
1978	0.000000	1.000000	
1979	0.000000	1.000000	
1980	0.000000	1.000000	
1981	0.000000	1.000000	
1982	0.002933	0.997067	
1983	0.000000	1.000000	
1984	0.000000	1.000000	
1985	0.000000	1.000000	
1986	0.000000	1.000000	
1987	0.000000	1.000000	
1988	0.002301	0.997699	
1989	0.016593	0.983407	
1990	0.124722	0.875278	
1991	0.172570	0.827430	
1992	0.223384	0.776616	
1993	0.236052	0.763948	
1994	0.212766	0.787234	
1995	0.211913	0.788087	
1996	0.143426	0.856574	
1997	0.230277	0.769723	
1998	0.134009	0.865991	
1999	0.114391	0.885609	
2000	0.279581	0.720419	
2001	0.121065	0.878935	
2002	0.111880	0.888120	
2003	0.141610	0.858390	
2004	0.156479	0.843521	
2005	0.132492	0.867508	
2006	0.117939	0.882061	
2007	0.373802	0.626198	
2008	0.228498	0.771502	
2009	0.075063	0.924937	
2010	0.053659	0.946341	
2011	0.166197	0.833803	
2012	0.028729	0.971271	
2013	0.128155	0.871845	
2014	0.050510	0.949490	
2015	0.009836	0.990164	
2016	0.049376	0.950624	
2017	0.036302	0.963698	
2018	0.013867	0.986133	
