YEAR	C0021760	C0062534	
1984	0.333333	0.666667	
1985	0.789474	0.210526	
1986	0.973684	0.026316	
1987	0.960526	0.039474	
1988	0.996855	0.003145	
1989	0.977662	0.022338	
1990	0.977504	0.022496	
1991	0.912913	0.087087	
1992	0.890284	0.109716	
1993	0.837711	0.162289	
1994	0.851387	0.148613	
1995	0.837703	0.162297	
1996	0.810505	0.189495	
1997	0.777887	0.222113	
1998	0.760389	0.239611	
1999	0.786733	0.213267	
2000	0.754765	0.245235	
2001	0.785812	0.214188	
2002	0.779627	0.220373	
2003	0.777407	0.222593	
2004	0.769374	0.230626	
2005	0.751189	0.248811	
2006	0.782744	0.217256	
2007	0.805669	0.194331	
2008	0.812982	0.187018	
2009	0.887433	0.112567	
2010	0.815630	0.184370	
2011	0.838063	0.161937	
2012	0.813121	0.186879	
2013	0.847869	0.152131	
2014	0.830754	0.169246	
2015	0.831095	0.168905	
2016	0.878421	0.121579	
2017	0.874920	0.125080	
2018	0.865237	0.134763	
