YEAR	C0626201	C0752253	
1992	0.000000	1.000000	
1993	0.000000	1.000000	
1994	0.244186	0.755814	
1995	0.130909	0.869091	
1996	0.173709	0.826291	
1997	0.045643	0.954357	
1998	0.147239	0.852761	
1999	0.362205	0.637795	
2000	0.742857	0.257143	
2001	0.658879	0.341121	
2002	0.673611	0.326389	
2003	0.682243	0.317757	
2004	0.690355	0.309645	
2005	0.801325	0.198675	
2006	0.688119	0.311881	
2007	0.659574	0.340426	
2008	0.821293	0.178707	
2009	0.900000	0.100000	
2010	0.747475	0.252525	
2011	0.820961	0.179039	
2012	0.816456	0.183544	
2013	0.722513	0.277487	
2014	0.922105	0.077895	
2015	0.912281	0.087719	
2016	0.909483	0.090517	
2017	0.810345	0.189655	
2018	0.677966	0.322034	
