YEAR	C0021246	C0021247	
1949	0.000000	1.000000	
1950	0.000000	1.000000	
1951	0.000000	1.000000	
1952	0.000000	1.000000	
1953	0.000000	1.000000	
1954	0.000000	1.000000	
1955	0.000000	1.000000	
1956	0.000000	1.000000	
1957	0.000000	1.000000	
1958	0.000000	1.000000	
1959	0.000000	1.000000	
1960	0.000000	1.000000	
1961	0.000000	1.000000	
1962	0.000000	1.000000	
1963	0.363636	0.636364	
1964	0.745455	0.254545	
1965	0.847458	0.152542	
1966	0.952381	0.047619	
1967	0.800000	0.200000	
1968	0.882353	0.117647	
1969	0.826923	0.173077	
1970	0.639344	0.360656	
1971	0.822222	0.177778	
1972	0.936842	0.063158	
1973	0.900000	0.100000	
1974	0.820225	0.179775	
1975	0.953488	0.046512	
1976	0.941094	0.058906	
1977	0.950780	0.049220	
1978	0.948669	0.051331	
1979	0.961977	0.038023	
1980	0.968300	0.031700	
1981	0.959857	0.040143	
1982	0.974311	0.025689	
1983	0.975649	0.024351	
1984	0.971920	0.028080	
1985	0.958140	0.041860	
1986	0.977124	0.022876	
1987	0.977448	0.022552	
1988	0.970000	0.030000	
1989	0.965404	0.034596	
1990	0.968468	0.031532	
1991	0.954102	0.045898	
1992	0.955414	0.044586	
1993	0.945636	0.054364	
1994	0.943827	0.056173	
1995	0.943754	0.056246	
1996	0.931762	0.068238	
1997	0.919547	0.080453	
1998	0.934586	0.065414	
1999	0.914627	0.085373	
2000	0.901532	0.098468	
2001	0.885449	0.114551	
2002	0.862930	0.137070	
2003	0.852919	0.147081	
2004	0.867479	0.132521	
2005	0.809078	0.190922	
2006	0.754545	0.245455	
2007	0.794794	0.205206	
2008	0.671104	0.328896	
2009	0.701031	0.298969	
2010	0.666814	0.333186	
2011	0.561244	0.438756	
2012	0.621708	0.378292	
2013	0.552682	0.447318	
2014	0.483882	0.516118	
2015	0.494607	0.505393	
2016	0.439191	0.560809	
2017	0.330181	0.669819	
2018	0.324757	0.675243	
